month,union,spd,gru,fdp,lin,npd,afd
2011-09,23,35.6,8.7,2.8,18.4,6,
2013-08,28,32,8,2,20,5,
2013-09,28,31,8,2,19,5,
2014-03,31.8,32.7,6.2,1.7,19.4,1.1,2.3
2014-05,34,29,5,2,20,3,4
2015-01,30.6,34.3,9.7,1.6,17.4,1.4,4.1
2016-01,27.2,28.4,9.5,8,20.1,1.3,5.5
2016-02,29,22,5,4,19,4,16
2016-04,24,22,8,4,16,4,18
2016-06,25,22,7,3,17,4,19
2016-08,22,26.8333333333333,5.83333333333333,,15,,20.8333333333333
2016-09,19,30.6,4.8,3,13.2,3,20.8
2017-01,21,32,4,4,13,,18
2017-07,22,31.5,4.5,3.5,13.5,,20.5
2018-01,20,28,5,5,15,,19
2018-06,18,25,8,4,16,,22
2019-01,22,22,10,4,16,,18
2019-09,21,22,12,5,12,,20
2020-01,20,19,13,5,14,,19
2020-06,29,24,10,4,13,,15
2020-11,27,27,10,3,12,,15
2021-01,24,26,10,3,16,,14
2021-05,21,23,14,6,11,,17
2021-07,21,26.3333333333333,8,6.66666666666667,12.6666666666667,,18
2021-08,16.5,32,7,7.5,12.5,,17
2021-09,14,39.2,6.4,5.9,10.6,,16.6
