month,union,spd,gru,fdp,lin,afd
2013-01,36,32.6,13.7,9.9,3.1,0
2014-01,40,32,13,4,5,3
2015-01,41,30,14,3,4,4
2015-07,40,31,14,5,5,2
2015-09,37,29,14,6,6,3
2015-11,35,33,14,6,4,4
2016-10,33,31,12,8,5,7
2017-01,34.5,31.5,13,6,4,7.5
2017-05,38,31.5,8,7.5,4.5,6
2017-08,39.6666666666667,30.3333333333333,8.66666666666667,8,4,7
2017-09,34,33.4166666666667,9.25,8.5,4.91666666666667,7
2017-10,33.6,36.9,8.7,7.5,4.6,6.2
2018-02,33,33,10,8,6,6
2018-11,27.5,26,20.5,8,4.5,10.5
2019-02,30,28,17,7,5,8
2020-06,32,30,16,5,6,5
2020-10,35,27,20,4,5,6
2020-11,34,27,18,6,5,6
2021-03,29.5,28.5,19,7,4.5,6.5
2021-05,26,29,20,9,5,7
2021-09,,,,,,
