month,union,spd,gru,fdp,lin,pir,afd
2012-05,26.3,39.1,11.3,8.6,2.5,7.8,
2012-06,29,38,12,7,3,7,
2012-09,30,39,13,5,4,5,
2012-12,32,40,12,5,4,4,
2013-04,31,42,12,6,3,2,
2013-05,35,39,14,4,3,2,
2013-09,35.5,39,10,4,4,2.5,
2013-12,36,37.5,9,4,5,,
2014-05,35,38,10,5,5,2,
2014-09,32,39,10,5,4,3,4
2014-11,33,36,10,4,5,2,6
2014-12,35.5,34.5,11,4.5,4.5,1.5,6
2015-05,38,34,12,6,6,1,2
2015-06,33.5,36,10.5,7.5,4.5,,3.5
2015-09,36,34,11,5,6,,3
2015-11,30,34,11,5,5,1,9
2015-12,32,36.5,10,6.5,5,,4.5
2016-02,33,31,9,7,7,,10
2016-04,32,29,13,7.5,5.5,,9
2016-05,31,31,10,8,6,,12
2016-09,27.5,32.5,10.5,8.5,5,,12
2016-10,32,32,12,7,5,,9
2017-01,30.5,31.5,10.5,7.5,6,,11
2017-02,31,36.5,7,7.5,5.5,,9.5
2017-03,28,37.5,6.75,9.75,5,,8.75
2017-04,30.4444444444444,33.3333333333333,6.55555555555556,11.0555555555556,6,,8.05555555555556
2017-05,33,31.2,6.4,12.6,4.9,1,7.4
2017-09,34,30,6,11,7,,8.5
2018-01,34,28,9,10,7,,9
2018-02,34,24,10,12,7,,7
2018-05,35,22,12,9,7,,12
2018-09,31,24,10,10,7,,13
2018-10,28,21,17,11,8,,12
2018-11,28,19,19,11,8,,11
2019-02,30,23,17,12,6,,9
2019-08,29,18,24,11,5,,7
2019-11,31.5,20,22,9,5.5,,8.5
2020-04,39.5,19.5,17.5,7.5,5,,6
2020-06,37,20,20,7,4,,7
2020-09,34,21,22,7,4,,7
2020-10,33,23,19,8,5,,8
2021-01,37,17,24,8,3,,6
2021-04,28,18,26,11,3,,8
2021-05,25,19.5,26,11.5,4.25,,8
2021-09,,,,,,,
