month,union,spd,gru,fdp,lin,fw,afd
2016-03,31.8,36.2,5.3,6.2,2.8,2.2,12.6
2016-06,31,36,6,6,3,3,12
2016-07,33,33,7,8,4,0,10
2016-12,36,33,7,5,3.5,1,10.5
2017-03,35,40,6,6,3,0,7
2017-06,37,32,7,7,5,0,8
2017-07,37,33,7,6,3,2,8
2017-09,36,36,6,6,4,0,8
2017-12,37,38,7,6,3,0,6
2018-01,34,33,7,7,5,0,10
2018-03,33,37,8,7,3,0,8
2018-06,31,29,11,7,5,0,13
2018-10,28,24,18,8,5,0,13
2018-12,31,24,16,7,4,0,13
2019-02,31,26,14,8,5,0,10
2019-03,31,24,14,10,6,0,11
2019-09,28,22.5,20.5,8,4,1.5,11.5
2019-12,30,26,16,7,4,0,13
2020-03,27,26,18,7,6,0,11
2020-04,34,25.5,16,5.5,4.5,0,10
2020-09,34,26,17,6,4,0,9
2020-10,33,27,14,5,5,3,10
2020-12,34,28,15,5,3,0,9
2021-01,33,29,14.5,6,3,1.5,8.5
2021-02,30.25,31.25,11.5,6.6875,3.125,3.625,9
2021-03,27.7,35.7,9.3,5.5,2.5,5.4,8.3
2021-07,24,38,9,6,3,6,8
2021-09,23,40,9,6,3,5,8
