id,wahlkreis2021,berechtigt2021,gültig2021,SPDerst2021,CDUerst2021,AfDerst2021,FDPerst2021,Grüneerst2021,Linkeerst2021,Freieerst2021,gültigzweit2021,SPDzweit2021,CDUzweit2021,AfDzweit2021,FDPzweit2021,Grünezweit2021,Linkezweit2021,Freiezweit2021,partei2021,max2021,wahlkreis2016,berechtigt2016,gültig2016,SPDerst2016,CDUerst2016,Grüneerst2016,FDPerst2016,Linkeerst2016,Freieerste2016,AfDerst2016,gültigzweit2016,SPDzweit2016,CDUzweit2016,Grünezweit2016,FDPzweit2016,Linkezweit2016,Freiezweit2016,AfDzweit2016,partei2016,max2016
1,Betzdorf/Kirchen,55471,31436,37.4,41.5,0,8.2,7.9,5,0,32271,35.5,33.6,8.6,5.4,6.5,2.5,3.2,CDU,1,Betzdorf / Kirchen (Sieg),56790,35826,38.7,41.6,4.8,9.4,5.6,0,0,37043,33.3,36.2,3.8,6.1,2.6,1.5,14.1,CDU,2
2,Altenkirchen,56886,32695,33.2,38,0,9.3,8,3.5,8,33202,33.8,33.3,8.5,6.1,7.2,2.6,3.9,CDU,1,Altenkirchen (Westerwald),56718,36464,31.7,41.7,5.9,7.5,4,6.1,0,37225,33.4,35.3,4.6,5.8,2.7,2,13.6,CDU,2
3,Linz/Rengsdorf,71007,45153,25,40.4,6.2,6.2,12.7,3,6.4,45367,33.1,34.3,6.5,5.7,9.5,2.1,4.1,CDU,2,Linz am Rhein / Rengsdorf,70172,48328,30.8,40.6,5.8,6.8,2.6,3.9,9.6,48512,32.8,38.1,5.2,6.4,2.3,2.2,10.8,CDU,2
4,Neuwied,66366,36948,36,29.3,9.8,5.7,8.8,3.6,6.8,37147,36.6,27.7,9.8,5.4,8,2.8,4.7,SPD,1,Neuwied,67495,41947,38.5,30.8,4.8,5.2,3.7,4.2,12.7,42086,38.3,30.5,4.3,5.5,3.2,2.1,13.7,SPD,1
5,Bad Marienberg/Westerburg,63917,39176,41.1,30.6,7.9,4.9,7,2.6,5.8,39233,38.3,29.5,8.2,5.5,6.7,2.4,4.5,SPD,1,Bad Marienberg (Westerwald) / Westerburg,64025,42453,43.6,34.5,5,7.5,4.7,0,0,43494,37.4,32.1,4.1,6.1,2.5,1.7,13.3,SPD,1
6,Montabaur,67981,43834,23.6,39.4,6.5,6.3,9.9,3.6,10.7,44178,30.6,35.7,6.7,5.7,8.4,2.3,5.8,CDU,2,Montabaur,66790,46493,30.8,48.3,5.7,9.7,5.4,0,0,47698,30.1,40.6,4.6,7,2.7,2.2,10.7,CDU,2
7,Diez/Nassau,55151,35326,37.4,27.6,7.8,3.2,8.8,2.6,12.5,35456,39.9,25,7.8,4.4,8,2.1,7.9,SPD,1,Diez / Nassau,55710,37978,39.9,31.1,4.8,4.9,2.9,6,10.4,38153,39.8,28.8,4.7,5.9,2.5,3.7,12.5,SPD,1
8,Koblenz/Lahnstein,58033,37193,39.7,26.5,6.5,4.4,10.2,2.8,9.9,37321,38,27.9,6.7,4.7,9,2.4,5.8,SPD,1,Koblenz / Lahnstein,59916,41599,44.4,29.6,4.6,6.3,3.7,8.3,0,42087,38.5,31.9,5,6.1,2.6,3.3,9.9,SPD,1
9,Koblenz,63183,37105,28.7,27.6,5.8,5.8,17.2,3.5,7.8,37292,31.3,27.3,5.9,5.8,14.7,3.4,4.3,SPD,1,Koblenz,65060,42295,34.7,32.1,9,6,4.3,3.9,8.6,42506,35.3,31.8,7.5,6.7,4.3,2.1,9.4,SPD,1
10,Bendorf/Weißenthurm,60024,35135,29.8,37.2,7,5.3,10.5,2.3,7.9,35351,34.9,31.6,7,5.5,8.8,1.9,5.5,CDU,1,Bendorf / Weißenthurm,60370,40382,32.4,39.8,5.8,5.6,0,5.3,11.1,40627,34.6,36.1,4.4,6.4,2.6,2.6,11.3,CDU,2
11,Andernach,46602,27149,34.7,29.9,8.4,4.6,9.7,2.8,10,27287,36.8,29.2,8.5,5,8.2,2.2,5.1,SPD,1,Andernach,46599,30323,37.6,36.3,5.8,5,0,3.9,11.5,30483,37.1,34,4.6,5.6,2.9,1.9,11.8,SPD,1
12,Mayen,68736,44587,28.3,36.5,6.6,4.1,9.1,2.2,13.3,44861,34,33.2,6.6,5.2,8.1,1.8,6.4,CDU,1,Mayen,69217,47586,33,44.2,6.8,7.1,0,8.9,0,48529,34,39.3,4.6,6.2,2.2,2.1,9.5,CDU,2
13,Remagen/Sinzig,50503,30789,23.8,32.7,6.1,6.5,12.2,2.8,15.8,30895,33.4,30.2,6.4,5.5,10.2,2.2,7,CDU,1,Remagen / Sinzig,50283,33077,31.4,38.6,10.2,6.8,3.1,0,9.9,33238,31.9,37.3,6.6,6.3,2.5,2.2,10.6,CDU,2
14,Neuenahr-Ahrweiler,50111,32854,18.9,45.2,5,5.4,13.3,2.4,5.7,32951,31.3,37.2,5.8,6,9.5,1.8,4,CDU,2,Bad Neuenahr-Ahrweiler,49981,33731,23,51.2,8.3,9.6,4.1,0,0,34419,26.6,44.4,5.3,7.5,2.3,1.2,9.8,CDU,2
15,Cochem-Zell,48390,32601,27,44.1,6.4,5.4,7.7,0,9.3,32785,30.6,38.9,6.4,5.8,6.2,1.8,5.8,CDU,2,Cochem-Zell,49138,34105,30.3,48.9,5,7,0,0,8.8,34440,31.4,43.5,3.5,7.1,2.1,1.2,9.5,CDU,2
16,Rhein-Hunsrück,65342,43612,29.6,36.5,6.9,6.7,10.1,0,8.7,43963,34.8,32.6,6.8,6.3,6.7,2,5.1,CDU,1,Rhein-Hunsrück,65475,46799,34.9,40.7,4.4,7.5,3.2,0,9.3,47180,36.3,37.2,3.7,6.9,2.6,1.6,9.9,CDU,2
17,Bad Kreuznach,65861,39663,32.5,32.1,7.6,6,11.6,3.2,7,39821,36.9,28.5,7.6,6.3,8.8,2.6,3.9,SPD,1,Bad Kreuznach,66160,44853,36.2,42.6,4.4,5,3.9,5.3,0,45370,36.6,34,4.7,6.7,2.9,1.9,11.2,CDU,1
18,Kirn/Bad Sobernheim,53827,34991,42.5,26.1,9.4,4.9,7.3,2.9,7,35257,41.4,26.3,9,5.3,6.4,2.3,4.8,SPD,1,Kirn / Bad Sobernheim,54243,39718,41.6,32.2,4.7,5.7,2.4,3.2,10.2,39956,41.4,32.1,3.9,5.1,2.1,2,11.5,SPD,1
19,Birkenfeld,62934,36807,30.4,29,9,6.7,6.3,3.2,13.4,36992,37.7,26.2,10,6.2,5.5,2.8,6.9,SPD,1,Birkenfeld,65000,42083,38.7,29,6.5,7.3,3.2,2.8,10.9,42521,39.2,31.4,3.6,6.1,2.9,1.8,12.8,SPD,1
20,Vulkaneifel,47507,29014,33.3,37.9,5.6,8.4,0,4.6,8.1,29159,34.7,33.2,6,6.4,6.2,2.5,6.9,CDU,1,Vulkaneifel,48220,32701,30.2,42.9,4.9,7.7,4.1,0,9.1,32770,31,42,4.3,6.7,2.7,1.4,9.5,CDU,2
21,Bitburg-Prüm,71750,48116,33.8,29.1,4.7,4.2,5.1,2.1,18.7,48267,31.8,25.6,5.3,4.4,6.1,1.7,21.3,SPD,1,Bitburg-Prüm,72631,49697,37.9,34.6,6.9,6.3,2.5,4.2,7.5,50139,36.1,36.8,5.1,6.2,2.1,2.8,9,SPD,2
22,Wittlich,49771,31738,22,45.4,6.7,5.2,8.5,2.8,8,31982,33.6,32.5,6.7,5.3,7.7,2.2,7.4,CDU,1,Wittlich,50457,34610,30.1,38,5.2,8.2,2.7,4.5,10.4,34773,32.6,38.5,4.3,7.1,2.6,2.2,10.5,CDU,2
23,Bernk./Morb./Kirchb.,50708,32747,25.5,32.1,6.5,9.1,6.2,2.5,16,32869,34.8,28.6,7.1,6.9,6,2.3,9.4,CDU,1,Bernkastel-Kues / Morbach / Kirchberg (Hunsrück),51819,35676,33.6,37.9,4.5,9.5,4,8.1,0,36244,35.8,34.7,3.7,7.7,2.6,2.7,10.4,CDU,1
24,Trier/Schweich,65631,44185,29.7,33.6,5.6,4.9,12.6,2.9,10.6,44646,39.9,26.8,5.8,4.4,8.1,2.3,7.9,CDU,1,Trier / Schweich,66099,47180,34.9,38.6,6.4,6.2,3.2,0,8.9,47478,40.1,33.4,4.5,5.3,2.7,2,9.4,CDU,1
25,Trier,65807,40493,47.7,17.6,5.4,3.9,13.5,4.7,3.5,40510,32.1,21.1,5.4,5.2,18.7,5,4.3,SPD,1,Trier,67568,44109,49.6,25.3,6,3.8,4.5,1.5,8.4,44109,37.6,26.9,11.2,5.7,5.4,1.3,9.1,SPD,1
26,Konz/Saarburg,58537,38774,36.8,30.2,0,10.6,8.4,3.7,10.2,39446,40.6,27.8,6,5,7.6,2.6,5.7,SPD,1,Konz / Saarburg,58968,41423,36.3,34.6,6.8,5.4,3.3,5.4,8.2,41774,40.1,33.2,4.6,4.8,2.8,2.6,9.6,SPD,1
27,Mainz I,59265,40373,29.2,17.4,3.3,4.8,29.6,5.4,2,40566,32.6,15.9,3.4,5.2,23.3,5.5,1.7,Grüne,1,Mainz I,71714,51325,40.3,24.8,13.6,5.3,4.9,1.5,6.5,51437,41.4,24.3,12.3,6,5,0.9,7.1,SPD,1
28,Mainz II,58182,39584,30.8,27.1,4.7,5.1,18.7,3.7,2.5,39770,34.7,23.9,5,5.5,17,3.1,1.9,SPD,1,Mainz II,73654,54069,38.9,30.6,8.1,6.1,3.1,1.9,8.9,54269,38,30.7,8.3,6.7,3.1,1.1,9.2,SPD,1
29,Mainz III,45329,32116,33.9,29.2,4.8,5.3,15,0,3.8,32288,36.7,28,5.2,5.5,12.6,2.3,2.9,SPD,1,Bingen am Rhein,54680,39593,41.8,34.7,7.8,8.2,4.5,0,0,40475,39.1,31.8,5.5,6.4,2.4,1.4,11,SPD,1
30,Bingen am Rhein,54379,36816,36.1,28.7,7.1,6.5,14,3.1,0,37128,38.5,26.1,6.9,5.8,10.1,2.4,3.1,SPD,1,Ingelheim am Rhein,71546,53919,36,36.2,9.7,8,3.3,5.2,0,54976,39.4,31.9,6.4,6.6,2,1.5,9.9,CDU,1
31,Ingelheim am Rhein,56976,39504,33.2,30.8,6,6.6,15.6,2.6,0,39756,37.9,25.5,6,5.6,12.8,2.1,3.5,SPD,1,Rhein-Selz / Wonnegau,65090,46601,41.7,34.8,7.4,10.5,5.6,0,0,48075,38.3,28.7,5.3,6.2,2.2,1.8,14.7,SPD,1
32,Rhein-Selz/Wonnegau,65617,44810,36.8,28.6,10.6,7.8,13.2,0,0,45265,38.2,23.9,10,5.9,9.3,2.1,4.4,SPD,1,Worms,58897,37267,38.6,27.2,7.7,6.1,3.7,0,16.6,37382,36.9,26.1,5.8,5.8,3,1.4,17.7,SPD,1
33,Worms,56971,31719,37.4,30.3,11.2,5.6,11.4,4.1,0,31928,37.5,24.6,11.1,5.4,9.9,2.5,3.2,SPD,1,Alzey,62895,46199,41.2,30.8,5.7,5.5,2.8,0,12.7,46400,38.4,29.6,5.1,6,2.6,1.9,13.6,SPD,1
34,Alzey,63444,41735,36.3,27.4,0,9.5,10.4,4.1,10,42567,38.5,24.2,9.4,6.5,8.8,2.5,4.3,SPD,1,Frankenthal (Pfalz),54120,37189,31.1,39,4.3,4.5,3.3,0,16.1,37274,33.3,30.9,4.4,5.5,2.8,1.8,17.6,CDU,1
35,Frankenthal,52560,33148,29.5,39.7,10.5,3.8,7.9,2.5,6.2,33218,32.6,32.2,11.3,4.6,8.3,2.1,4.1,CDU,1,Ludwigshafen am Rhein I,49882,27594,40,25.7,8.3,10.4,7.8,0,0,28626,36.3,21.2,6.7,6.2,4.4,1.9,18.8,SPD,1
36,Ludwigshafen I,48495,22680,37.8,19.9,12.8,8.8,14.5,6.2,0,22818,36.9,19.3,12,5.6,12,3.9,2.8,SPD,1,Ludwigshafen am Rhein II,53119,34573,39.5,27.6,5.5,8.1,5.4,13.9,0,35511,36.1,23.5,4.6,5.6,2.6,2.7,20.7,SPD,1
37,Ludwigshafen II,51947,29224,36.9,25.1,13.2,6.3,8.7,3.2,6.5,29318,38.8,23.2,13,5.4,7.6,2.4,4.2,SPD,1,Mutterstadt,65405,49504,30.3,33.5,6.6,6,2.1,4.4,16.1,49669,34.4,28.6,5.3,6.8,2,2.8,16.6,CDU,1
38,Mutterstadt,64786,44776,30.4,34.5,11.1,7.4,11.7,2.7,0,45093,35.4,27,10.4,6.2,9.2,2,4,CDU,1,Speyer,67085,47187,28.7,30.5,10.4,5.6,3.6,5.5,14.7,47345,32.9,28.6,7.3,6.2,3,3.2,15.5,CDU,1
39,Speyer,66531,42684,26.2,27.6,9.5,5.7,18.5,3.7,6.5,42884,34.3,25.1,9.6,5.7,12.4,2.8,3.8,CDU,1,Donnersberg,66569,45251,37.4,31.5,7.1,6.8,5.5,11.7,0,46244,38.8,26.2,4.7,5.5,2.9,3.3,15.6,SPD,1
40,Donnersberg,66648,41926,32.1,25.7,10.8,8.4,11.4,0,11.5,42287,38.1,23.5,11.1,5.3,7.7,2.4,6.1,SPD,1,Kusel,57530,40019,42.2,22.6,6.2,4.5,4.3,7.5,12.6,40243,42.8,22.7,4.2,4.4,3.4,3.9,15.3,SPD,1
41,Kusel,55763,35113,37.8,23.7,10.8,3.7,9.6,3.3,11,35316,41.8,21.5,11.1,4,6.5,2.8,7.3,SPD,1,Bad Dürkheim,69757,52248,34.8,31.8,6.3,7.1,2.2,6.7,11.1,52462,37.3,29.5,5.1,7.7,1.8,3.4,12.7,SPD,1
42,Bad Dürkheim,70040,48149,30.1,32,7.8,6.6,10.2,1.9,8.8,48377,35.4,28.4,7.9,6.4,9.8,1.7,5.4,CDU,1,Neustadt an der Weinstraße,67206,46694,31.5,32.6,7.2,6.7,4.1,17.9,0,47609,36.1,26.8,5.7,6,2.3,4.8,15.3,CDU,1
43,Neustadt a.d.W.,65954,42360,29.7,30.9,11.5,4.4,10.4,2.5,10.7,42546,36.5,24.8,10.7,4.9,9.8,1.9,5.8,CDU,1,Kaiserslautern I,49569,27524,41.5,24.6,7.3,6.7,8.3,11.5,0,28367,38,21.7,6.5,6,5.2,2.3,15.7,SPD,1
44,Kaiserslautern I,47152,23782,34.8,21.7,11,4.6,15.3,5.2,7.4,23909,34.3,20.3,11.3,5.3,12,3.9,4.5,SPD,1,Kaiserslautern II,54342,38053,36.7,28.7,5.7,6.4,4,6.3,12.3,38321,37.6,26.9,5.3,6.2,3.3,3.3,14,SPD,1
45,Kaiserslautern II,52611,33675,30.6,28.5,10.4,4.6,11.5,3.1,8.8,33900,36.1,24.2,10.5,5.2,9.2,2.6,5.6,SPD,1,Kaiserslautern-Land,50039,34353,38.1,36.3,5,4.8,6.4,9.4,0,34970,37.6,29.7,3.8,4.3,3.3,3.1,15.1,SPD,1
46,Kaiserslautern-Land,50312,32419,32.8,34.3,9.6,3,5.5,2.8,11.9,32500,36.7,28.8,10.8,3.8,5.9,2.6,6.5,CDU,1,Zweibrücken,45745,29353,29.6,39.6,5.4,7,8,10.4,0,29951,33.2,29.3,4.1,6.2,4,2.8,16.1,CDU,1
47,Zweibrücken,63220,38897,27.6,41.9,9.5,4.2,5.7,3,5.9,38989,35.6,29.7,10.6,5.2,6,2.7,4.6,CDU,1,Pirmasens-Land,48469,35387,35,39.5,0,4.7,3,5.2,12.6,35655,33.8,35.8,3.1,5.5,2.3,2.8,13.7,CDU,2
