month,union,spd,gru,fdp,lin,ssw,pir,afd
2012-05,30.8,30.4,13.2,8.2,2.3,4.6,8.2,
2013-05,34,31,15,6,3,4,3,
2014-10,34,29,15,3,5,3,2,7
2016-04,28,28,16,9,3,4,1,9
2016-10,26,31,13,12,4,4,1,6
2016-12,34,26,15,9,5,3,,6
2017-03,27,33,14,9,4,3,,7
2017-04,31.6666666666667,30.8333333333333,12,9.41666666666667,4.5,3.16666666666667,,5.83333333333333
2017-05,32,27.2,12.9,11.5,3.8,3.3,1.2,5.9
2018-04,34,22,18,8,6,3,,6
2019-02,30,20,22,9,5,3,,7
2020-01,28,20,26,9,3,3,,7
2020-11,33,20,24,8,3,3,,6
2021-05,26.5,18,27,11,3.5,3,,6
2021-09,,,,,,,,
