month,union,spd,gru,fdp,lin,pir,afd
2009-08,34.5,24.5,5.9,9.2,21.3,,
2009-12,32,29,7,9,19,,
2010-11,32,34,9,4,17,,
2011-11,32,35,8,5,12,4,
2012-01,35,37,5.5,2,14,4.5,
2012-02,34.25,35,4.5,2,15,5.5,
2012-03,35.2,30.6,5,1.2,16.1,7.4,
2013-05,39,36,6,2,10,2,3
2014-05,37,34,5,,13,2,5
2015-03,40,33,6,2,10,1,4
2016-05,34,29,7,4,12,,11
2016-11,37,26,6,3,15,,9
2017-01,36.5,25,5.5,4.5,15,,9.5
2017-02,35.6666666666667,32.8333333333333,4.33333333333333,4,12.5833333333333,,6.41666666666667
2017-03,40.7,29.6,4,3.3,12.8,0.7,6.2
2018-06,35,26,6,4,12,,15
2019-05,37,25,11,4,12,,8
2019-12,36,24,15,4,11,,7
2020-11,40,22,12,3,11,,8
2021-05,31,21,15,7,14,,6
2021-07,36,27,9,7,7,,6
2021-09,,,,,,,
