month,union,spd,gru,fdp,lin,fw,afd
2014-08,39.4,12.4,5.7,3.8,18.9,1.6,9.7
2015-09,38,13,7,3,17,NA,13
2016-10,37.5,13,6,2,16,NA,21.5
2016-11,34,12,7,NA,16,NA,25
2017-06,41,10,4,5,15,NA,21
2017-10,31,14,4,7,17,NA,21
2017-12,33,12,4,7,18,NA,23
2018-06,32,9,6,6,19,NA,24
2018-08,29,11,6.5,6,18,NA,25
2018-09,28.9,11.4,6.8,5.6,18.6,NA,23.9
2018-11,29,11,8,6,17,NA,24
2018-12,29,10,9,6,18,NA,25
2019-03,27,11,16,5,17,2,18
2019-04,28,9.5,9,6,16.5,NA,25.5
2019-06,24,7.5,15,6,15.5,4,24.5
2019-07,26,9,12,5,15,3,26
2019-08,29.6666666666667,8.08333333333333,11.3333333333333,5,15.1666666666667,NA,24.9166666666667
2019-09,32.1,7.7,8.6,4.5,10.4,3.4,27.5
2020-07,36,7,10,4,11,NA,26
2021-01,34,7,10,5,11,NA,26
2021-05,24,6,13,12,11,NA,26
2021-08,34.5,9.5,7,7,11.5,NA,23
2021-09,31,11,7,8,11,NA,26
