month,union,spd,gru,fdp,lin,afd
2011-03,32.5,21.5,7.1,3.8,23.7,0
2013-08,39,21,7,2,22,0
2015-07,35,21,6,4,21,6
2015-09,34,21,7,0,26,5
2015-12,35,15.5,6,3,23,13.5
2016-01,33,19,5,3,19,15
2016-02,30.6111111111111,16.1666666666667,5.16666666666667,4.33333333333333,20.2222222222222,17.6666666666667
2016-03,29.8,10.6,5.2,4.9,16.3,24.3
2016-11,33,15,5,0,18,22
2017-06,40,13,6,5,20,13
2018-05,35,16,5,6,20,15
2018-08,28,14,6,8,19,21
2020-03,25,11,11,4,18,25
2020-06,34,13,8,4,16,19
2020-07,33,12,10,4,16,19
2020-12,29,10,10,4,17,23
2021-01,30,10,9,5,16,23
2021-04,26.5,11,11.5,7,12.5,22
2021-05,27.8,10.2,9.2,7.5,11.5,24.4
2021-06,37.1,8.4,5.9,6.4,11,20.8
2021-09,,,,,,
