value,name
0,Afghanistan
1,Ägypten
2,Albanien
3,Algerien
4,Angola
5,Äquatorialguinea
6,Argentinien
7,Armenien
8,Aserbaidschan
9,Äthiopien
10,Australien
11,Bahrain
12,Bangladesch
13,Belarus
14,Belgien
15,Belize
16,Benin
17,Bolivien
18,Botswana
19,Brasilien
20,Brunei
21,Bulgarien
22,Burkina Faso
23,Burundi
24,Chile
25,China
26,Costa Rica
27,Dänemark
28,Deutschland
29,DR Kongo
30,Dschibuti
31,Ecuador
32,El Salvador
33,Eritrea
34,Estland
35,Fiji
36,Finnland
37,Frankreich
38,Gabun
39,Gambia
40,Georgien
41,Ghana
42,Griechenland
43,Großbritannien
44,Guatemala
45,Guinea
46,Guinea Bissau
47,Guyana
48,Haiti
49,Honduras
50,Indien
51,Indonesien
52,Irak
53,Iran
54,Irland
55,Israel
56,Italien
57,Jamaika
58,Japan
59,Jemen
60,Jordanien
61,Kambodscha
62,Kamerun
63,Kanada
64,Kap Verde
65,Kasachstan
66,Katar
67,Kenia
68,Kolumbien
69,Kongo
70,Kosovo
71,Kroatien
72,Kuba
73,Kuwait
74,Laos
75,Lesotho
76,Lettland
77,Libanon
78,Liberia
79,Libyen
80,Litauen
81,Luxemburg
82,Madagaskar
83,Malawi
84,Malaysia
85,Mali
86,Malta
87,Marokko
88,Mauretanien
89,Mauritius
90,Mexiko
91,Moldawien
92,Mongolei
93,Montenegro
94,Mosambik
95,Myanmar
96,Namibia
97,Nepal
98,Neuseeland
99,Nicaragua
100,Niederlande
101,Niger
102,Nigeria
103,Nordkorea
104,Norwegen
105,Oman
106,Österreich
107,Pakistan
108,Panama
109,Papua-Neuguinea
110,Paraguay
111,Peru
112,Philippinen
113,Polen
114,Portugal
115,Ruanda
116,Rumänien
117,Russland
118,Sambia
119,Saudi-Arabien
120,Schweden
121,Schweiz
122,Senegal
123,Serbien
124,Seychellen
125,Sierra Leone
126,Simbabwe
127,Singapur
128,Slowakei
129,Slowenien
130,Spanien
131,Sri Lanka
132,Sudan
133,Südkorea
134,Südsudan
135,Syrien
136,Tadschikistan
137,Taiwan
138,Tansania
139,Thailand
140,Togo
141,Tschad
142,Tschechien
143,Tunesien
144,Türkei
145,Turkmenistan
146,Uganda
147,Ukraine
148,Ungarn
149,Uruguay
150,USA
151,Usbekistan
152,Venezuela
153,Vietnam
154,Zypern
