woche,wildanteil,alphaanteil,betaanteil,gammaanteil,deltaanteil,omikronanteil,wild,alpha,beta,gamma,delta,omikron
1/2021,97.9,2.1,0,0,0,0,142384,3054,0,0,0,0
2/2021,90.4,8.3,1.1,0,0.2,0,107464,9867,1308,0,238,0
3/2021,93.8,5.3,0.7,0,0.2,0,89591,5062,669,0,191,0
4/2021,89.3,10.2,0.5,0,0,0,69763,7968,391,0,0,0
5/2021,82,17.2,0.8,0,0,0,52933,11103,516,0,0,0
6/2021,78.6,20.6,0.6,0.2,0,0,39930,10465,305,102,0,0
7/2021,67.8,31.4,0.6,0.2,0,0,35520,16450,314,105,0,0
8/2021,56,43.2,0.8,0,0,0,31551,24339,451,0,0,0
9/2021,45.9,52,1.8,0.3,0,0,26791,30351,1051,175,0,0
10/2021,34.4,63.7,1.8,0.1,0,0,24534,45430,1284,71,0,0
11/2021,24.8,73.8,1.2,0.2,0,0,22959,68322,1111,185,0,0
12/2021,18.6,79.7,1.6,0,0.1,0,21624,92659,1860,0,116,0
13/2021,11.8,86.7,1.3,0.2,0,0,12992,95458,1431,220,0,0
14/2021,9.49999999999999,88.4,1.9,0.2,0,0,11236,104550,2247,237,0,0
15/2021,9.09999999999999,88.5,2,0.2,0.2,0,12926,125713,2841,284,284,0
16/2021,7.19999999999999,90.9,0.9,0.3,0.7,0,10421,131566,1303,434,1013,0
17/2021,6.89999999999999,90,0.7,1,1.4,0,8610,112306,873,1248,1747,0
18/2021,7.89999999999999,86.9,2.5,0.9,1.8,0,7977,87746,2524,909,1818,0
19/2021,6.90000000000001,88.8,1.3,0.4,2.6,0,4885,62864,920,283,1841,0
20/2021,4.59999999999999,90.9,0.7,0.7,3.1,0,2424,47891,369,369,1633,0
21/2021,4.30000000000001,90.7,0.6,0.8,3.6,0,1285,27103,179,239,1076,0
22/2021,6.89999999999999,83.9,0.5,1,7.7,0,1427,17351,103,207,1592,0
23/2021,7.29999999999998,72.7,0.4,1.4,18.2,0,1025,10204,56,197,2555,0
24/2021,7.09999999999999,51.4,1.1,1.3,39.1,0,517,3739,80,95,2845,0
25/2021,6.90000000000001,31.8,0.4,1.1,59.8,0,333,1536,19,53,2888,0
26/2021,3.40000000000001,17.9,0.1,1.6,77,0,148,780,4,70,3357,0
27/2021,2.30000000000001,11,0.1,2,84.6,0,128,613,6,112,4716,0
28/2021,1,5.6,0,1.2,92.2,0,91,510,0,109,8390,0
29/2021,1,2.2,0,0,96.8,0,126,278,0,0,12222,0
30/2021,0.599999999999994,1.8,0,0.1,97.5,0,93,279,0,16,15115,0
31/2021,0.299999999999997,1,0,0,98.7,0,61,204,0,0,20150,0
32/2021,0.299999999999997,0.4,0,0.1,99.2,0,96,128,0,32,31807,0
33/2021,0.0999999999999943,0.5,0,0,99.4,0,50,248,0,0,49326,0
34/2021,0,0.2,0,0,99.8,0,0,133,0,0,66216,0
35/2021,0.100000000000009,0.1,0,0,99.8,0,75,75,0,0,74530,0
36/2021,0.0999999999999943,0,0,0,99.9,0,72,0,0,0,71596,0
37/2021,0.200000000000003,0,0,0,99.8,0,123,0,0,0,61330,0
38/2021,0.0999999999999943,0,0,0,99.9,0,54,0,0,0,53549,0
39/2021,0,0,0,0,100,0,0,0,0,0,56466,0
40/2021,0.0999999999999943,0,0,0,99.9,0,58,0,0,0,57917,0
41/2021,0,0,0,0,100,0,0,0,0,0,65323,0
42/2021,0,0,0,0,100,0,0,0,0,0,97687,0
43/2021,0,0,0,0,100,0,0,0,0,0,137020,0
44/2021,0,0,0,0,100,0,0,0,0,0,177909,0
45/2021,0.0999999999999943,0,0,0,99.9,0,271,0,0,0,271139,0
46/2021,0,0,0,0,100,0,0,0,0,0,351771,0
47/2021,0.100000000000009,0,0,0,99.8,0.1,403,0,0,0,402554,403
48/2021,0.0999999999999943,0,0,0,99.2,0.7,388,0,0,0,385161,2718
49/2021,0.199999999999989,0,0,0,97.4,2.4,676,0,0,0,329147,8110
50/2021,0.0999999999999943,0,0,0,90.9,9,273,0,0,0,248603,24614
51/2021,0,0,0,0,80,20,0,0,0,0,155145,38786
