woche,wildanteil,alphaanteil,betaanteil,gammaanteil,deltaanteil,omikronanteil,wild,alpha,beta,gamma,delta,omikron
1/2021,97.9,2.1,0,0,0,0,171,4,0,0,0,0
2/2021,90.3,8.4,1.1,0,0.2,0,129,12,2,0,0,0
3/2021,93.6,5.5,0.7,0,0.2,0,108,6,1,0,0,0
4/2021,89,10.5,0.5,0,0,0,84,10,0,0,0,0
5/2021,81.5,17.7,0.8,0,0,0,63,14,1,0,0,0
6/2021,78.2,21,0.6,0.2,0,0,48,13,0,0,0,0
7/2021,66,33.2,0.6,0.2,0,0,42,21,0,0,0,0
8/2021,54.9,44.3,0.8,0,0,0,37,30,1,0,0,0
9/2021,45.4,52.5,1.8,0.3,0,0,32,37,1,0,0,0
10/2021,33.3,64.8,1.8,0.1,0,0,29,56,2,0,0,0
11/2021,24.4,74.2,1.2,0.2,0,0,27,83,1,0,0,0
12/2021,18.1,80.2,1.6,0,0.1,0,25,112,2,0,0,0
13/2021,11.3,87.1,1.4,0.2,0,0,15,115,2,0,0,0
14/2021,8.99999999999999,88.9,1.9,0.2,0,0,13,126,3,0,0,0
15/2021,8.5,89.1,2,0.2,0.2,0,15,152,3,0,0,0
16/2021,6.8,91.2,1,0.3,0.7,0,12,159,2,1,1,0
17/2021,6,90.8,0.8,1,1.4,0,9,136,1,2,2,0
18/2021,7.40000000000001,87.3,2.6,0.9,1.8,0,9,106,3,1,2,0
19/2021,6.7,89,1.3,0.4,2.6,0,6,76,1,0,2,0
20/2021,4.2,91.3,0.7,0.7,3.1,0,3,58,0,0,2,0
21/2021,4.00000000000001,91,0.6,0.8,3.6,0,1,33,0,0,1,0
22/2021,6.10000000000001,84.6,0.5,1,7.8,0,2,21,0,0,2,0
23/2021,6.59999999999999,73.3,0.4,1.4,18.3,0,1,12,0,0,3,0
24/2021,5.90000000000001,52.4,1.1,1.3,39.3,0,1,5,0,0,3,0
25/2021,6.5,32,0.4,1.1,60,0,0,2,0,0,3,0
26/2021,2.69999999999999,18.2,0.1,1.6,77.4,0,0,1,0,0,4,0
27/2021,2.30000000000001,11.1,0.1,1.9,84.6,0,0,1,0,0,6,0
28/2021,0.799999999999997,5.7,0,1.2,92.3,0,0,1,0,0,10,0
29/2021,0.600000000000009,2.3,0,0,97.1,0,0,0,0,0,15,0
30/2021,0.599999999999994,1.8,0,0.1,97.5,0,0,0,0,0,18,0
31/2021,0.299999999999997,1,0,0,98.7,0,0,0,0,0,24,0
32/2021,0.299999999999997,0.4,0,0.1,99.2,0,0,0,0,0,38,0
33/2021,0.0999999999999943,0.5,0,0,99.4,0,0,0,0,0,59,0
34/2021,0,0.2,0,0,99.8,0,0,0,0,0,80,0
35/2021,0.100000000000009,0.1,0,0,99.8,0,0,0,0,0,90,0
36/2021,0.0999999999999943,0,0,0,99.9,0,0,0,0,0,86,0
37/2021,0.0999999999999943,0,0,0,99.9,0,0,0,0,0,74,0
38/2021,0.0999999999999943,0,0,0,99.9,0,0,0,0,0,64,0
39/2021,0,0,0,0,100,0,0,0,0,0,68,0
40/2021,0.0999999999999943,0,0,0,99.9,0,0,0,0,0,70,0
41/2021,0,0,0,0,100,0,0,0,0,0,79,0
42/2021,0,0,0,0,100,0,0,0,0,0,118,0
43/2021,0,0,0,0,100,0,0,0,0,0,165,0
44/2021,0,0,0,0,100,0,0,0,0,0,214,0
45/2021,0.0999999999999943,0,0,0,99.9,0,0,0,0,0,326,0
46/2021,0,0,0,0,100,0,0,0,0,0,423,0
47/2021,0.0999999999999943,0,0,0,99.7,0.2,0,0,0,0,484,1
48/2021,0.0999999999999943,0,0,0,99.2,0.7,0,0,0,0,463,3
49/2021,0.0999999999999943,0,0,0,97.5,2.4,0,0,0,0,397,10
50/2021,0.300000000000011,0,0,0,90.1,9.6,1,0,0,0,296,32
51/2021,0.799999999999997,0,0,0,77.5,21.7,2,0,0,0,181,51
52/2021,0.200000000000003,0,0,0,46.4,53.4,1,0,0,0,116,134
1/2022,0.400000000000006,0,0,0,30.6,69,2,0,0,0,124,281
2/2022,0.399999999999991,0,0,0,12.9,86.7,2,0,0,0,75,507
3/2022,0.200000000000003,0,0,0,4.1,95.7,2,0,0,0,39,916
4/2022,0.0999999999999943,0,0,0,1.7,98.2,1,0,0,0,23,1312
5/2022,0.0999999999999943,0,0,0,0.7,99.2,2,0,0,0,11,1540
6/2022,0.5,0,0,0,0.3,99.2,8,0,0,0,5,1560
7/2022,0.700000000000003,0,0,0,0.1,99.2,10,0,0,0,1,1421
8/2022,0.100000000000009,0,0,0,0.1,99.8,1,0,0,0,1,1309
9/2022,1.40000000000001,0,0,0,0,98.6,19,0,0,0,0,1339
10/2022,0.599999999999994,0,0,0,0,99.4,10,0,0,0,0,1677
11/2022,0.5,0,0,0,0,99.5,9,0,0,0,0,1879
12/2022,0.299999999999997,0,0,0,0,99.7,6,0,0,0,0,1887
13/2022,0.200000000000003,0,0,0,0,99.8,3,0,0,0,0,1542
14/2022,0.200000000000003,0,0,0,0,99.8,2,0,0,0,0,1175
15/2022,0.200000000000003,0,0,0,0,99.8,2,0,0,0,0,927
