country,date,vac,rate,land,continent,northamerica,southamerica,europe,asia,africa,world
World,23.1.2021,64018860,0.82,Welt,World,,,,,,0.82
Israel,24.1.2021,3615145,41.77,Israel,Asia,,,,41.77,,
United Arab Emirates,24.1.2021,2487789,25.15,VAE,Asia,,,,25.15,,
United Kingdom,23.1.2021,6822981,10.05,Großbritannien,Europe,,,10.05,,,
United States,23.1.2021,20537990,6.2,USA,North America,6.2,,,,,
Denmark,23.1.2021,203166,3.51,Dänemark,Europe,,,3.51,,,
Spain,22.1.2021,1165825,2.49,Spanien,Europe,,,2.49,,,
Portugal,23.1.2021,249891,2.45,Portugal,Europe,,,2.45,,,
Serbia,23.1.2021,163355,2.4,Serbien,Europe,,,2.4,,,
Romania,24.1.2021,446285,2.32,Rumänien,Europe,,,2.32,,,
Italy,24.1.2021,1370449,2.27,Italien,Europe,,,2.27,,,
Canada,23.1.2021,801238,2.12,Kanada,North America,2.12,,,,,
Switzerland,21.1.2021,169783,1.96,Schweiz,Europe,,,1.96,,,
Austria,24.1.2021,170144,1.89,Österreich,Europe,,,1.89,,,
Germany,25.1.2021,1783118,1.87,Deutschland,Europe,,,1.87,,,
Poland,23.1.2021,701164,1.85,Polen,Europe,,,1.85,,,
Czechia,23.1.2021,192267,1.8,Tschechien,Europe,,,1.8,,,
Slovakia,21.1.2021,92167,1.69,Slowakei,Europe,,,1.69,,,
Finland,22.1.2021,91260,1.65,Finnland,Europe,,,1.65,,,
Hungary,23.1.2021,153392,1.59,Ungarn,Europe,,,1.59,,,
