country,date,vac,rate,land,continent,northamerica,southamerica,europe,asia,africa,world
World,31.1.2021,98986057,7.1,Welt,World,,,,,,7.1
Israel,31.1.2021,4871362,356,Israel,Asia,,,,356,,
United Arab Emirates,1.2.2021,3440777,322.6,VAE,Asia,,,,322.6,,
United Kingdom,31.1.2021,9790576,136.9,Großbritannien,Europe,,,136.9,,,
United States,31.1.2021,31123299,76.1,USA,North America,76.1,,,,,
Denmark,31.1.2021,270026,32.5,Dänemark,Europe,,,32.5,,,
Romania,31.1.2021,691415,30.4,Rumänien,Europe,,,30.4,,,
Singapore,31.1.2021,155050,26.5,Singapur,Asia,,,,26.5,,
Finland,1.2.2021,163760,26.3,Finnland,Europe,,,26.3,,,
Spain,28.1.2021,1474189,26.1,Spanien,Europe,,,26.1,,,
Poland,31.1.2021,1176904,25.8,Polen,Europe,,,25.8,,,
Hungary,31.1.2021,299138,24.6,Ungarn,Europe,,,24.6,,,
Belgium,31.1.2021,296961,24.1,Belgien,Europe,,,24.1,,,
Germany,1.2.2021,2467918,23.3,Deutschland,Europe,,,23.3,,,
Slovakia,31.1.2021,134205,22.8,Slowakei,Europe,,,22.8,,,
Sweden,29.1.2021,248991,22.8,Schweden,Europe,,,22.8,,,
Italy,1.2.2021,1991701,22.2,Italien,Europe,,,22.2,,,
Greece,30.1.2021,269106,22.1,Griechenland,Europe,,,22.1,,,
France,30.1.2021,1525377,21.8,Frankreich,Europe,,,21.8,,,
Czechia,31.1.2021,268617,21.6,Tschechien,Europe,,,21.6,,,
