land,country,continent,date,erste,rate,northamerica,southamerica,europe,asia,africa,world,land,country,continent,date,zweite,zweiterate,zweitenorthamerica,zweitesouthamerica,zweiteeurope,zweiteasia,zweiteafrica,zweiteworld,rate
Welt,World,World,3.5.2021,608717580, 7.81,,,,,,7.81,Welt,World,World,3.5.2021,279714568,3.59,,,,,,3.59, 7.81
Israel,Israel,Asia,3.5.2021,5407202,62.47,,,,62.47,,,Israel,Israel,Asia,3.5.2021,5060309,58.46,,,,58.46,,,62.47
VAE,United Arab Emirates,Asia,20.4.2021,5081853,51.38,,,,51.38,,,VAE,United Arab Emirates,Asia,20.4.2021,3836521,38.79,,,,38.79,,,51.38
Großbritannien,United Kingdom,Europe,2.5.2021,34588600,50.95,,,50.95,,,,Chile,Chile,South America,2.5.2021,6737196,35.24,,35.24,,,,,42.44
USA,United States,North America,3.5.2021,147517734,44.11,44.11,,,,,,USA,United States,North America,3.5.2021,105523520,31.55,31.55,,,,,,44.11
Chile,Chile,South America,2.5.2021,8112964,42.44,,42.44,,,,,Großbritannien,United Kingdom,Europe,2.5.2021,15500949,22.83,,,22.83,,,,50.95
Ungarn,Hungary,Europe,2.5.2021,4073149,42.16,,,42.16,,,,Serbien,Serbia,Europe,2.5.2021,1498386,22.02,,,22.02,,,,29.81
Kanada,Canada,North America,3.5.2021,12914613,34.22,34.22,,,,,,Ungarn,Hungary,Europe,2.5.2021,2077160,21.5,,,21.5,,,,42.16
Finnland,Finland,Europe,3.5.2021,1698107,30.65,,,30.65,,,,Singapur,Singapore,Asia,18.4.2021,849764,14.53,,,,14.53,,,23.32
Serbien,Serbia,Europe,2.5.2021,2028490,29.81,,,29.81,,,,Marokko,Morocco,Africa,3.5.2021,4282269,11.6,,,,,11.6,,13.84
Deutschland,Germany,Europe,4.5.2021,23852426,28.70,,,28.7,,,,Dänemark,Denmark,Europe,2.5.2021,669970,11.57,,,11.57,,,,23.61
Belgien,Belgium,Europe,3.5.2021,3133908,27.04,,,27.04,,,,Türkei,Turkey,Europe,3.5.2021,9360609,11.1,,,11.1,,,,16.52
Österreich,Austria,Europe,3.5.2021,2360698,26.21,,,26.21,,,,Spanien,Spain,Europe,2.5.2021,5098903,10.91,,,10.91,,,,26.01
Spanien,Spain,Europe,2.5.2021,12162359,26.01,,,26.01,,,,Schweiz,Switzerland,Europe,28.4.2021,926024,10.7,,,10.7,,,,19.69
Norwegen,Norway,Europe,2.5.2021,1373911,25.34,,,25.34,,,,Italien,Italy,Europe,3.5.2021,6379737,10.55,,,10.55,,,,24.61
Schweden,Sweden,Europe,30.4.2021,2511121,24.86,,,24.86,,,,Rumänien,Romania,Europe,2.5.2021,1986669,10.33,,,10.33,,,,17.44
Portugal,Portugal,Europe,3.5.2021,2532434,24.84,,,24.84,,,,Frankreich,France,Europe,2.5.2021,6600425,9.69,,,9.69,,,,23.29
Italien,Italy,Europe,3.5.2021,14878628,24.61,,,24.61,,,,Österreich,Austria,Europe,3.5.2021,864971,9.6,,,9.6,,,,26.21
Polen,Poland,Europe,3.5.2021,9018412,23.83,,,23.83,,,,Tschechien,Czechia,Europe,3.5.2021,1017268,9.5,,,9.5,,,,21.12
Dänemark,Denmark,Europe,2.5.2021,1367495,23.61,,,23.61,,,,Slowakei,Slovakia,Europe,3.5.2021,514091,9.42,,,9.42,,,,20.86
Singapur,Singapore,Asia,18.4.2021,1364124,23.32,,,,23.32,,,Griechenland,Greece,Europe,3.5.2021,945342,9.07,,,9.07,,,,21.03
