country,date,erste,rate,zweite,zweiterate,land,continent,northamerica,southamerica,europe,asia,africa,world,zweitenorthamerica,zweitesouthamerica,zweiteeurope,zweiteasia,zweiteafrica,zweiteworld
World,20.3.2021,258958639, 3.32,99942889,1.28,Welt,World,,,,,,3.32,,,,,,1.28
Israel,20.3.2021,5162636,59.65,4523828,52.27,Israel,Asia,,,,59.65,,,,,,52.27,,
United Kingdom,19.3.2021,26853407,39.56,2132551,3.14,Großbritannien,Europe,,,39.56,,,,,,3.14,,,
Chile,20.3.2021,5596657,29.28,2867453,15,Chile,South America,,29.28,,,,,,15,,,,
United States,20.3.2021,79367225,23.73,43036818,12.87,USA,North America,23.73,,,,,,12.87,,,,,
Serbia,20.3.2021,1305132,19.18,858461,12.62,Serbien,Europe,,,19.18,,,,,,12.62,,,
Hungary,20.3.2021,1563242,16.18,474891,4.92,Ungarn,Europe,,,16.18,,,,,,4.92,,,
Finland,20.3.2021,724524,13.08,87515,1.58,Finnland,Europe,,,13.08,,,,,,1.58,,,
Morocco,20.3.2021,4264168,11.55,2423380,6.57,Marokko,Africa,,,,,11.55,,,,,,6.57,
Denmark,19.3.2021,628897,10.86,306288,5.29,Dänemark,Europe,,,10.86,,,,,,5.29,,,
Austria,19.3.2021,928005,10.30,311203,3.46,Österreich,Europe,,,10.3,,,,,,3.46,,,
Turkey,20.3.2021,8016078, 9.50,5013676,5.94,Türkei,Europe,,,9.5,,,,,,5.94,,,
Singapore,15.3.2021,549254, 9.39,243169,4.16,Singapur,Asia,,,,9.39,,,,,,4.16,,
Greece,20.3.2021,977045, 9.37,459446,4.41,Griechenland,Europe,,,9.37,,,,,,4.41,,,
Norway,18.3.2021,497011, 9.17,261503,4.82,Norwegen,Europe,,,9.17,,,,,,4.82,,,
Czechia,20.3.2021,973592, 9.09,357083,3.33,Tschechien,Europe,,,9.09,,,,,,3.33,,,
Sweden,19.3.2021,910425, 9.01,383498,3.8,Schweden,Europe,,,9.01,,,,,,3.8,,,
Slovakia,19.3.2021,488389, 8.95,229980,4.21,Slowakei,Europe,,,8.95,,,,,,4.21,,,
Spain,18.3.2021,4106550, 8.78,1886813,4.04,Spanien,Europe,,,8.78,,,,,,4.04,,,
Portugal,20.3.2021,892372, 8.75,432894,4.25,Portugal,Europe,,,8.75,,,,,,4.25,,,
