land,country,continent,date,erste,rate,northamerica,southamerica,europe,asia,africa,world
Welt,World,World,27.4.2022,5131944616,65.17,,,,,,65.17
VAE,United Arab Emirates,Asia,27.4.2022,9890279,98.99,,,,98.99,,
Portugal,Portugal,Europe,27.4.2022,9663542,95.04,,,95.04,,,
Kuba,Cuba,North America,27.4.2022,10653708,94.13,94.13,,,,,
Chile,Chile,South America,27.4.2022,17910218,93.22,,93.22,,,,
Singapur,Singapore,Asia,27.4.2022,5011993,91.90,,,,91.9,,
Argentinien,Argentina,South America,27.4.2022,41013873,89.93,,89.93,,,,
China,China,Asia,27.4.2022,1282120000,88.78,,,,88.78,,
Kanada,Canada,North America,27.4.2022,33716371,88.57,88.57,,,,,
Spanien,Spain,Europe,27.4.2022,41188035,88.11,,,88.11,,,
Kambodscha,Cambodia,Asia,27.4.2022,14892264,87.88,,,,87.88,,
Südkorea,South Korea,Asia,27.4.2022,45026366,87.76,,,,87.76,,
Hongkong,Hong Kong,Asia,27.4.2022,6609485,87.51,,,,87.51,,
Peru,Peru,South America,27.4.2022,29031992,87.03,,87.03,,,,
Australien,Australia,Asia,27.4.2022,22273424,86.37,,,,86.37,,
Costa Rica,Costa Rica,North America,27.4.2022,4401102,85.64,85.64,,,,,
Brasilien,Brazil,South America,27.4.2022,182519774,85.29,,85.29,,,,
Malaysia,Malaysia,Asia,27.4.2022,27743589,84.65,,,,84.65,,
Ecuador,Ecuador,South America,27.4.2022,15106810,84.45,,84.45,,,,
Italien,Italy,Europe,27.4.2022,50758590,84.08,,,84.08,,,
Neuseeland,New Zealand,Asia,27.4.2022,4287747,83.64,,,,83.64,,
