land,country,continent,date,erste,ersterate,zweite,zweiterate,population
Nordamerika,North America,Kontinent,2020-12-13,     19408,0,4064,0,596581283
USA,United States,Nordamerika,2020-12-13,     19408,0.01,4064,0,332915074
Welt,World,Welt,2020-12-13,     19423,0,4064,0,7874965730
Nordamerika,North America,Kontinent,2020-12-14,     23664,0,4162,0,596581283
USA,United States,Nordamerika,2020-12-14,     23659,0.01,4162,0,332915074
Welt,World,Welt,2020-12-14,     23679,0,4162,0,7874965730
Nordamerika,North America,Kontinent,2020-12-15,     72877,0.01,4379,0,596581283
USA,United States,Nordamerika,2020-12-15,     72150,0.02,4379,0,332915074
Welt,World,Welt,2020-12-15,    101395,0,4379,0,7874965730
Nordamerika,North America,Kontinent,2020-12-16,    230980,0.04,4785,0,596581283
USA,United States,Nordamerika,2020-12-16,    227964,0.07,4785,0,332915074
Welt,World,Welt,2020-12-16,    259505,0,4785,0,7874965730
Nordamerika,North America,Kontinent,2020-12-17,    501535,0.08,5386,0,596581283
USA,United States,Nordamerika,2020-12-17,    494268,0.15,5386,0,332915074
Welt,World,Welt,2020-12-17,    530069,0.01,5386,0,7874965730
Nordamerika,North America,Kontinent,2020-12-18,    913038,0.15,6408,0,596581283
USA,United States,Nordamerika,2020-12-18,    901762,0.27,6408,0,332915074
Welt,World,Welt,2020-12-18,    941591,0.01,6408,0,7874965730
Asien,Asia,Kontinent,2020-12-19,        66,0,1,0,4678444992
Israel,Israel,Asien,2020-12-19,        66,0,1,0,9291000
Nordamerika,North America,Kontinent,2020-12-19,   1091565,0.18,7370,0,596581283
USA,United States,Nordamerika,2020-12-19,   1079523,0.33,7370,0,332915074
Welt,World,Welt,2020-12-19,   1120190,0.01,7371,0,7874965730
Asien,Asia,Kontinent,2020-12-20,      7451,0,1,0,4678444992
Israel,Israel,Asien,2020-12-20,      7451,0.08,1,0,9291000
Nordamerika,North America,Kontinent,2020-12-20,   1195074,0.2,8044,0,596581283
USA,United States,Nordamerika,2020-12-20,   1182173,0.36,8044,0,332915074
Welt,World,Welt,2020-12-20,   1231095,0.02,8045,0,7874965730
Asien,Asia,Kontinent,2020-12-21,     32359,0,1,0,4678444992
Europa,Europe,Kontinent,2020-12-21,     28590,0,1,0,748962983
Israel,Israel,Asien,2020-12-21,     32359,0.35,1,0,9291000
Nordamerika,North America,Kontinent,2020-12-21,   1578219,0.26,9164,0,596581283
Schweiz,Switzerland,Europa,2020-12-21,         1,0,1,0,8715494
USA,United States,Nordamerika,2020-12-21,   1557176,0.47,9164,0,332915074
Welt,World,Welt,2020-12-21,   1639168,0.02,9166,0,7874965730
Asien,Asia,Kontinent,2020-12-22,     76992,0,1,0,4678444992
Europa,Europe,Kontinent,2020-12-22,     52114,0.01,1,0,748962983
Israel,Israel,Asien,2020-12-22,     76992,0.83,1,0,9291000
Nordamerika,North America,Kontinent,2020-12-22,   2025531,0.34,11540,0,596581283
Schweiz,Switzerland,Europa,2020-12-22,         3,0,1,0,8715494
USA,United States,Nordamerika,2020-12-22,   1998705,0.6,11540,0,332915074
Welt,World,Welt,2020-12-22,   2154637,0.03,11542,0,7874965730
Asien,Asia,Kontinent,2020-12-23,    178847,0,1,0,4678444992
Europa,Europe,Kontinent,2020-12-23,     52539,0.01,1,0,748962983
Israel,Israel,Asien,2020-12-23,    139882,1.51,1,0,9291000
Nordamerika,North America,Kontinent,2020-12-23,   2601578,0.44,13745,0,596581283
Schweiz,Switzerland,Europa,2020-12-23,       405,0,1,0,8715494
USA,United States,Nordamerika,2020-12-23,   2566075,0.77,13745,0,332915074
Welt,World,Welt,2020-12-23,   2832964,0.04,13747,0,7874965730
Asien,Asia,Kontinent,2020-12-24,    263345,0.01,1,0,4678444992
Europa,Europe,Kontinent,2020-12-24,     52821,0.01,1,0,748962983
Israel,Israel,Asien,2020-12-24,    213274,2.3,1,0,9291000
Nordamerika,North America,Kontinent,2020-12-24,   2807361,0.47,14727,0,596581283
Schweiz,Switzerland,Europa,2020-12-24,       668,0.01,1,0,8715494
USA,United States,Nordamerika,2020-12-24,   2758684,0.83,14727,0,332915074
Welt,World,Welt,2020-12-24,   3123947,0.04,14729,0,7874965730
Asien,Asia,Kontinent,2020-12-25,    302308,0.01,1,0,4678444992
Europa,Europe,Kontinent,2020-12-25,     52822,0.01,1,0,748962983
Israel,Israel,Asien,2020-12-25,    251765,2.71,1,0,9291000
Nordamerika,North America,Kontinent,2020-12-25,   2822872,0.47,14817,0,596581283
Schweiz,Switzerland,Europa,2020-12-25,       669,0.01,1,0,8715494
USA,United States,Nordamerika,2020-12-25,   2771149,0.83,14817,0,332915074
Welt,World,Welt,2020-12-25,   3183205,0.04,14819,0,7874965730
Asien,Asia,Kontinent,2020-12-26,    335925,0.01,1,0,4678444992
Europa,Europe,Kontinent,2020-12-26,     53274,0.01,1,0,748962983
Israel,Israel,Asien,2020-12-26,    284369,3.06,1,0,9291000
Nordamerika,North America,Kontinent,2020-12-26,   2961841,0.5,15518,0,596581283
Schweiz,Switzerland,Europa,2020-12-26,      1105,0.01,1,0,8715494
USA,United States,Nordamerika,2020-12-26,   2910103,0.88,15518,0,332915074
Welt,World,Welt,2020-12-26,   3359386,0.04,15520,0,7874965730
Asien,Asia,Kontinent,2020-12-27,    442488,0.01,1,0,4678444992
Europa,Europe,Kontinent,2020-12-27,    108164,0.01,12,0,748962983
Europa,European Union,Kontinent,2020-12-27,     54932,0.01,11,0,447189915
Deutschland,Germany,Europa,2020-12-27,     24349,0.03,11,0,83900471
Israel,Israel,Asien,2020-12-27,    388874,4.19,1,0,9291000
Nordamerika,North America,Kontinent,2020-12-27,   3063443,0.51,16143,0,596581283
Schweiz,Switzerland,Europa,2020-12-27,      1105,0.01,1,0,8715494
USA,United States,Nordamerika,2020-12-27,   3004196,0.9,16143,0,332915074
Welt,World,Welt,2020-12-27,   3622752,0.05,16156,0,7874965730
Asien,Asia,Kontinent,2020-12-28,    580573,0.01,1,0,4678444992
Estland,Estonia,Europa,2020-12-28,       509,0.04,1,0,1325188
Europa,Europe,Kontinent,2020-12-28,    148695,0.02,93,0,748962983
Europa,European Union,Kontinent,2020-12-28,     93240,0.02,89,0,447189915
Deutschland,Germany,Europa,2020-12-28,     42394,0.05,75,0,83900471
Irland,Ireland,Europa,2020-12-28,       124,0,13,0,4982904
Israel,Israel,Asien,2020-12-28,    523842,5.64,1,0,9291000
Nordamerika,North America,Kontinent,2020-12-28,   3649566,0.61,19249,0,596581283
Schweiz,Switzerland,Europa,2020-12-28,      2704,0.03,4,0,8715494
USA,United States,Nordamerika,2020-12-28,   3580947,1.08,19249,0.01,332915074
Welt,World,Welt,2020-12-28,   4387491,0.06,19343,0,7874965730
Asien,Asia,Kontinent,2020-12-29,    739465,0.02,1,0,4678444992
Belgien,Belgium,Europa,2020-12-29,       374,0,11,0,11632334
Kanada,Canada,Nordamerika,2020-12-29,     72297,0.19,1,0,38067913
Dänemark,Denmark,Europa,2020-12-29,     16265,0.28,1,0,5813302
Estland,Estonia,Europa,2020-12-29,       876,0.07,2,0,1325188
Europa,Europe,Kontinent,2020-12-29,    242434,0.03,762,0,748962983
