date,Deutschland,Deutschland,Albanienerste,Albanienzweite,Andorraerste,Andorrazweite,Anguillaerste,Anguillazweite,Argentinienerste,Argentinienzweite,Aserbaidschanerste,Aserbaidschanzweite,Australienerste,Australienzweite,Bahrainerste,Bahrainzweite,Bangladescherste,Bangladeschzweite,Barbadoserste,Barbadoszweite,Belaruserste,Belaruszweite,Belgienerste,Belgienzweite,Belizeerste,Belizezweite,Bermudaerste,Bermudazweite,Bolivienerste,Bolivienzweite,Brasilienerste,Brasilienzweite,Bulgarienerste,Bulgarienzweite,Cayman Islandserste,Cayman Islandszweite,Chileerste,Chilezweite,Costa Ricaerste,Costa Ricazweite,Dänemarkerste,Dänemarkzweite,Dominicaerste,Dominicazweite,Dominikanische Republikerste,Dominikanische Republikzweite,Ecuadorerste,Ecuadorzweite,El Salvadorerste,El Salvadorzweite,Estlanderste,Estlandzweite,Falkland Inselnerste,Falkland Inselnzweite,Finnlanderste,Finnlandzweite,Frankreicherste,Frankreichzweite,Ghanaerste,Ghanazweite,Gibraltarerste,Gibraltarzweite,Grenadaerste,Grenadazweite,Griechenlanderste,Griechenlandzweite,Großbritannienerste,Großbritannienzweite,Guernseyerste,Guernseyzweite,Guyanaerste,Guyanazweite,Hongkongerste,Hongkongzweite,Indienerste,Indienzweite,Indonesienerste,Indonesienzweite,Iranerste,Iranzweite,Irlanderste,Irlandzweite,Islanderste,Islandzweite,Isle of Manerste,Isle of Manzweite,Israelerste,Israelzweite,Italienerste,Italienzweite,Jerseyerste,Jerseyzweite,Kambodschaerste,Kambodschazweite,Kanadaerste,Kanadazweite,Kolumbienerste,Kolumbienzweite,Kroatienerste,Kroatienzweite,Kuwaiterste,Kuwaitzweite,Lettlanderste,Lettlandzweite,Litauenerste,Litauenzweite,Luxemburgerste,Luxemburgzweite,Malaysiaerste,Malaysiazweite,Maltaerste,Maltazweite,Marokkoerste,Marokkozweite,Mauritiuserste,Mauritiuszweite,Mexikoerste,Mexikozweite,Moldawienerste,Moldawienzweite,Montenegroerste,Montenegrozweite,Montserraterste,Montserratzweite,Neuseelanderste,Neuseelandzweite,Niederlandeerste,Niederlandezweite,Norwegenerste,Norwegenzweite,Omanerste,Omanzweite,Österreicherste,Österreichzweite,Pakistanerste,Pakistanzweite,Paraguayerste,Paraguayzweite,Peruerste,Peruzweite,Philippinenerste,Philippinenzweite,Polenerste,Polenzweite,Portugalerste,Portugalzweite,Ruandaerste,Ruandazweite,Rumänienerste,Rumänienzweite,Russlanderste,Russlandzweite,Saint Luciaerste,Saint Luciazweite,San Marinoerste,San Marinozweite,Schwedenerste,Schwedenzweite,Schweizerste,Schweizzweite,Senegalerste,Senegalzweite,Serbienerste,Serbienzweite,Seychellenerste,Seychellenzweite,Simbabweerste,Simbabwezweite,Singapurerste,Singapurzweite,Slowakeierste,Slowakeizweite,Slowenienerste,Slowenienzweite,Spanienerste,Spanienzweite,Südafrikaerste,Südafrikazweite,Südkoreaerste,Südkoreazweite,Trinidad Tobagoerste,Trinidad Tobagozweite,Tschechienerste,Tschechienzweite,Türkeierste,Türkeizweite,Turks-und Caicosinselnerste,Turks-und Caicosinselnzweite,Ukraineerste,Ukrainezweite,Ungarnerste,Ungarnzweite,Uruguayerste,Uruguayzweite,USAerste,USAzweite,Venezuelaerste,Venezuelazweite,Vereinigte Arabische Emirateerste,Vereinigte Arabische Emiratezweite,Zypernerste,Zypernzweite
2020-12-13,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.13,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-12-15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-12-19,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-12-20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.99,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.09,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.17,null,null,null,null,null,null,null
2020-12-21,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.37,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.18,null,null,null,null,null,null,null
2020-12-22,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.89,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.04,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-12-23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2.29,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.62,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.3,null,null,null,null,null,null,null
2020-12-24,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2.94,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2.47,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-12-25,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2.97,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.03,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2.92,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-12-26,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3.03,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,0.04,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3.3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.58,null,null,null,null,null,null,null
