date,Deutschland,Deutschland,Albanienerste,Albanienzweite,Andorraerste,Andorrazweite,Anguillaerste,Anguillazweite,Argentinienerste,Argentinienzweite,Aserbaidschanerste,Aserbaidschanzweite,Australienerste,Australienzweite,Bahrainerste,Bahrainzweite,Bangladescherste,Bangladeschzweite,Barbadoserste,Barbadoszweite,Belaruserste,Belaruszweite,Belgienerste,Belgienzweite,Belizeerste,Belizezweite,Bermudaerste,Bermudazweite,Bolivienerste,Bolivienzweite,Brasilienerste,Brasilienzweite,Bulgarienerste,Bulgarienzweite,Cayman Islandserste,Cayman Islandszweite,Chileerste,Chilezweite,Costa Ricaerste,Costa Ricazweite,Dänemarkerste,Dänemarkzweite,Dominicaerste,Dominicazweite,Dominikanische Republikerste,Dominikanische Republikzweite,Ecuadorerste,Ecuadorzweite,El Salvadorerste,El Salvadorzweite,Estlanderste,Estlandzweite,Falkland Inselnerste,Falkland Inselnzweite,Finnlanderste,Finnlandzweite,Frankreicherste,Frankreichzweite,Ghanaerste,Ghanazweite,Gibraltarerste,Gibraltarzweite,Grenadaerste,Grenadazweite,Griechenlanderste,Griechenlandzweite,Großbritannienerste,Großbritannienzweite,Guernseyerste,Guernseyzweite,Guyanaerste,Guyanazweite,Hongkongerste,Hongkongzweite,Indienerste,Indienzweite,Indonesienerste,Indonesienzweite,Iranerste,Iranzweite,Irlanderste,Irlandzweite,Islanderste,Islandzweite,Isle of Manerste,Isle of Manzweite,Israelerste,Israelzweite,Italienerste,Italienzweite,Jerseyerste,Jerseyzweite,Kambodschaerste,Kambodschazweite,Kanadaerste,Kanadazweite,Kolumbienerste,Kolumbienzweite,Kroatienerste,Kroatienzweite,Kuwaiterste,Kuwaitzweite,Lettlanderste,Lettlandzweite,Litauenerste,Litauenzweite,Luxemburgerste,Luxemburgzweite,Malaysiaerste,Malaysiazweite,Maltaerste,Maltazweite,Marokkoerste,Marokkozweite,Mauritiuserste,Mauritiuszweite,Mexikoerste,Mexikozweite,Moldawienerste,Moldawienzweite,Montenegroerste,Montenegrozweite,Montserraterste,Montserratzweite,Neuseelanderste,Neuseelandzweite,Niederlandeerste,Niederlandezweite,Norwegenerste,Norwegenzweite,Omanerste,Omanzweite,Österreicherste,Österreichzweite,Pakistanerste,Pakistanzweite,Paraguayerste,Paraguayzweite,Peruerste,Peruzweite,Philippinenerste,Philippinenzweite,Polenerste,Polenzweite,Portugalerste,Portugalzweite,Ruandaerste,Ruandazweite,Rumänienerste,Rumänienzweite,Russlanderste,Russlandzweite,Saint Luciaerste,Saint Luciazweite,San Marinoerste,San Marinozweite,Schwedenerste,Schwedenzweite,Schweizerste,Schweizzweite,Senegalerste,Senegalzweite,Serbienerste,Serbienzweite,Seychellenerste,Seychellenzweite,Simbabweerste,Simbabwezweite,Singapurerste,Singapurzweite,Slowakeierste,Slowakeizweite,Slowenienerste,Slowenienzweite,Spanienerste,Spanienzweite,Südafrikaerste,Südafrikazweite,Südkoreaerste,Südkoreazweite,Trinidad Tobagoerste,Trinidad Tobagozweite,Tschechienerste,Tschechienzweite,Türkeierste,Türkeizweite,Turks-und Caicosinselnerste,Turks-und Caicosinselnzweite,Ukraineerste,Ukrainezweite,Ungarnerste,Ungarnzweite,Uruguayerste,Uruguayzweite,USAerste,USAzweite,Venezuelaerste,Venezuelazweite,Vereinigte Arabische Emirateerste,Vereinigte Arabische Emiratezweite,Zypernerste,Zypernzweite
2020-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,
2020-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,
2020-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-23,,,,,,,,,,,,,,,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,
2020-12-24,,,,,,,,,,,,,,,2.94,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-25,,,,,,,,,,,,,,,2.97,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26,,,,,,,,,,,,,,,3.03,,,,,,,,,,,,,,,,,,,,0,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,,,,,,,
