date,Deutschland,Großbritannien,Andorra,Argentinien,Bahrain,Bangladesch,Belgien,Brasilien,Bulgarien,Cayman Islands,Chile,China,Costa Rica,Dänemark,Ecuador,Estland,Finnland,Frankreich,Gibraltar,Griechenland,Grönland,Guernsey,Indonesien,Irland,Island,Isle of Man,Israel,Italien,Jersey,Kanada,Kroatien,Lettland,Litauen,Luxemburg,Malta,Mexiko,Norwegen,Oman,Österreich,Polen,Portugal,Rumänien,Schweden,Seychellen,Singapur,Slowakei,Slowenien,Spanien,Tschechien,Ungarn,USA,Vereinigte Arabische Emirate,Zypern
2020-12-13,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-15,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.2,,,,,,,,,,,,,,,,,,,,,,,
2020-12-20,,9.9,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,1.7,,
2020-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,1.8,,
2020-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-23,,,,,22.9,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,3,,
2020-12-24,,,,,29.4,,,,,,0,,,,,,,,,,,,,,,,24.4,,,,,,,,,0,,,,,,,,,,,,,,,,,
2020-12-25,,,,,29.7,,,,,,0.3,,,,,,,,,,,,,,,,28.8,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26,,,,,30.3,,,,,0,0.4,,,,,,,,,,,,,,,,32.6,,,0.9,,,,,,,,,,,,,,,,,,,,,5.8,,
2020-12-27,0.3,14.8,,,31.5,,,,,,0.5,,,1.1,,,,0,,,,,,,,,44.5,0.1,,,,,0.9,,,0.1,0,,,,,,0.2,,,,2.8,,0.1,,,,
2020-12-28,0.5,,,,32.3,,0,,,,,,,1.5,,,,0,,0,,,,,,,59.9,0.1,,,,0.3,1.9,,,0.1,0.1,0.3,,0.1,0.5,0.1,,,,,3.5,,0.3,,6.4,,
2020-12-29,1,,,,32.9,,0,,0.2,,,,,3.1,,,,0,,0.1,,,,,,,77.7,0.1,,,,0.8,3,,,0.1,0.3,0.7,,0.2,1.6,0.1,,,,,4.1,,0.7,,,,
2020-12-30,1.7,,,,33.7,,0.1,,0.7,,,,,5.1,,,,0,,0.2,,,,,14.3,,95.1,0.2,,,1.9,1.2,3.6,1.9,,0.2,0.4,1,,1,2.6,0.3,,,,,4.3,,1,,8.4,,
2020-12-31,2.2,,,,34.5,,0.1,,,,,3.1,,6.2,,,,0,,0.2,,,,,,,113.2,0.6,,,,,3.6,,,,0.4,1.3,,1.3,,0.5,,,,,5.1,,1.1,,,,
2021-01-01,2.5,,,,34.9,,0.1,,0.7,,,,,6.6,,,,0,,0.2,,,,,,,121.4,0.8,,,,,,,,,0.4,,,,,0.6,,,,,5.1,,1.1,,,,
2021-01-02,3.1,,,,35.3,,,,,,,,,8.2,,,,0,,0.3,,,,,,,129.6,1.5,,2.1,,,,,,,0.4,1.4,,1.3,,0.7,,,,,5.3,,1.2,,12.6,,
2021-01-03,3.4,20.3,,,35.7,,,,,,,,,9.2,,,,0,,0.4,,,,,,,146.7,2,,,3,,,,,,0.4,1.7,,1.3,3.1,0.7,1.4,,,,5.6,,1.3,,,,
2021-01-04,4,,,,36.2,,0.1,,,,0.5,,,9.6,,,,0,,1,,,,,,,163.9,3.2,,,,1.6,,,,0.3,0.4,2.1,,2.4,,1.3,,,,0,6.1,1.8,1.7,,13.6,,
2021-01-05,4.6,,,,37.5,,0.2,,0.8,,0.5,,,12,,,,0.1,,1.6,,,,,,,178.1,4.5,,,3.4,2,3.8,,,0.4,1,2.5,,3.7,,2.2,,,,0.1,7.3,3,2.1,,14.5,,
2021-01-06,5.3,,,,40.2,,0.5,,1.1,,0.6,,,15.5,,,,0.3,,2,,,,,,,189.7,5.6,,,,2.5,5.1,,,0.4,2.7,2.7,,4.2,4.1,3,,,,1.2,9.7,,2.6,,15.9,,
2021-01-07,6,,,,42.5,,1.2,,1.6,,,,,18.6,,,,0.6,,2.5,,,,,,,202.9,7.1,,,5,2.9,6.6,,,0.5,3.9,2.9,,5,,4,,,,2.5,12.2,4.4,3.4,,17.7,,
2021-01-08,6.7,,,,46,,2,,1.9,,,,,20.1,,,,1.1,,3.4,,,,,,,210.4,8.6,,,6.1,3.4,8.5,,,0.5,4.2,2.9,,5.3,6.9,4.8,,,,3.8,13.8,5.9,4.3,,20,,
2021-01-09,7.4,,,,49.5,,2.3,,1.9,,,6.3,,20.4,,,,1.3,,3.9,,,,,,,215.5,10.1,,5.6,7.3,3.5,8.6,,,0.6,4.2,2.9,,5.3,,5.3,,0,,4.1,13.9,,4.5,,,,
2021-01-10,7.8,33.7,,,52.5,,2.3,,,,,,,20.5,,,,1.4,12.5,4.3,,,,,,,219.8,11.1,,,,3.7,8.6,,,0.6,4.2,3.1,0.8,5.4,,5.6,4.5,,,4.6,13.9,,4.6,,,84.6,
2021-01-11,8.6,35.8,,,54.4,,2.8,,2,,,,,20.6,,,,1.8,42.9,4.8,,,,,,,222.1,12.4,,,,4.4,9.4,3.1,,0.7,4.3,3.6,1.3,6.8,,6.5,,,0.6,5.4,14.1,8.7,5.5,,26.9,,
2021-01-12,9.5,38.9,,,57.5,,4.1,,2.3,,,,,20.7,,,,2.6,74.2,5.4,,,,,,,224.8,13.7,,,,5.3,10.2,3.8,,0.7,5.1,4,1.5,8.2,,7.3,,,1.1,7.3,15,10.4,6.8,,27.9,,
