date,Deutschland,Albanien,Andorra,Anguilla,Argentinien,Aserbaidschan,Australien,Bahrain,Bangladesch,Barbados,Belarus,Belgien,Belize,Bermuda,Bolivien,Brasilien,Bulgarien,Cayman Islands,Chile,Costa Rica,Dänemark,Dominica,Dominikanische Republik,Ecuador,El Salvador,Estland,Falkland Inseln,Finnland,Frankreich,Ghana,Gibraltar,Grenada,Griechenland,Grönland,Großbritannien,Guatemala,Guernsey,Guyana,Honduras,Hongkong,Indien,Indonesien,Iran,Irland,Island,Isle of Man,Israel,Italien,Japan,Jersey,Jordanien,Kambodscha,Kanada,Kasachstan,Katar,Kolumbien,Kroatien,Kuwait,Lettland,Litauen,Luxemburg,Malaysia,Malta,Marokko,Mauritius,Mexiko,Moldawien,Montenegro,Montserrat,Neuseeland,Niederlande,Norwegen,Oman,Österreich,Pakistan,Paraguay,Peru,Philippinen,Polen,Portugal,Ruanda,Rumänien,Russland,Saint Lucia,San Marino,Schweden,Schweiz,Senegal,Serbien,Seychellen,Simbabwe,Singapur,Slowakei,Slowenien,Spanien,Südafrika,Südkorea,Trinidad Tobago,Tschechien,Türkei,Turks-und Caicosinseln,Ukraine,Ungarn,Uruguay,USA,Venezuela,Vereinigte Arabische Emirate,Zypern
2020-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,
2020-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,
2020-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-23,,,,,,,,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,
2020-12-24,,,,,,,,2.94,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.47,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-25,,,,,,,,2.97,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26,,,,,,,,3.03,,,,,,,,,,0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,,,
2020-12-27,0.03,,,,,,,3.15,,,,,,,,,,,0.05,,0.11,,,,,,,,0,,,,,,1.48,,,,,,,,,,,,4.51,0.01,,,,,,,,,,,,0.09,,,,,,0.01,,,,,,0,,0.01,,,,,,0.05,,0.01,,,,0.02,,,,,,,,0.28,,,,,0.01,,,,,,,,,
