date,Deutschland,Großbritannien,Andorra,Argentinien,Bahrain,Bangladesch,Belgien,Brasilien,Bulgarien,Cayman Islands,Chile,China,Costa Rica,Dänemark,Ecuador,Estland,Finnland,Frankreich,Gibraltar,Griechenland,Grönland,Guernsey,Indonesien,Irland,Island,Isle of Man,Israel,Italien,Jersey,Kanada,Kroatien,Lettland,Litauen,Luxemburg,Malta,Mexiko,Norwegen,Oman,Österreich,Polen,Portugal,Rumänien,Schweden,Seychellen,Singapur,Slowakei,Slowenien,Spanien,Tschechien,Ungarn,USA,Vereinigte Arabische Emirate,Zypern
2020-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.1,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,0,,,,,,,,,25.3,
2021-01-11,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,,6.3,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,,6.5,,,,,,,,,0.2,,,,,,,,,,,,,,,,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,0,6.5,,,,,,,,,0.3,,,,,,,,,,,,,,,,21.3,,,,,,,,,,,,,,,,,,,,,,,,4,,
2021-01-15,0.1,6.6,,,,,,,,,0.4,,0,0,,,,,,,,,,,,,25.4,,,,,,,,,0,,,,,,,,,,,,,,,4.8,,
2021-01-16,0.2,6.6,,,,,,,,,0.4,,,0,,,,,,0,,,,,,,28.4,,,0.7,,,,,,0,,,,,,,,,,,,,,,,,
2021-01-17,0.4,6.7,,,,,,,,,0.4,,,0.1,,,,,,,,,,,,,38,0,,,,,0.4,,,0,0,0.1,,0,,0,0,,,,,,0.1,,,,
2021-01-18,0.7,6.7,,,,,0,,0.2,,0.4,,0,0.5,,,,,,0,,,,,,,51.7,0.1,,,,0.3,1,,,0.1,0.1,0.4,0,0.1,,0.1,,,,0.1,0.1,0,0.2,0.2,,,
2021-01-19,1.1,6.8,,,,,0,,0.5,,0.4,,,0.9,,,,,,0.1,,,,,,,67.3,0.1,,,,0.7,2.4,,,0.1,0.2,0.6,0.1,0.3,,0.1,,,,0.2,0.8,0.2,0.5,0.3,6,,
2021-01-20,1.8,6.8,,0.1,,,0.1,,0.6,,0.4,,,1.2,,,,,,0.2,,,,,1.4,,83.5,0.2,,,,1.1,3.1,,,0.1,0.3,0.9,0.2,0.7,,0.3,,,,0.3,2.4,0.3,0.7,0.4,6.5,,
2021-01-21,2.2,6.9,,0.4,,,0.1,,0.7,,0.4,,,1.6,,,,,,0.2,,,,,,,102,0.5,,,,1.1,3.4,,,0.1,0.4,,0.4,1,,0.5,,,,0.5,3.9,1,0.9,0.6,7.2,,
2021-01-22,2.5,6.9,,0.6,,,0.1,,0.7,,0.4,,,2.6,,,,,,0.2,,,,,,,110,0.8,,,,1.1,3.4,,,0.2,0.4,,0.4,1.2,,0.6,,,,0.5,4.3,1.5,1,0.7,8.2,,2.3
