ware,inflation,gewicht,anteil
Kraft- / Schmierstoffe für Fahrzeuge,24.6816846229187,3.525,17.07
Gas / einschließlich Umlage,19.8989898989899,2.477,9.67
Pauschalreisen,17.1428571428571,2.662,8.95
Heizöl / einschließlich Umlage,36.8834080717489,1.154,8.35
Nettokaltmiete,1.48423005565863,19.632,5.72
Strom,11.0910730387737,2.592,5.64
Personenkraftwagen (ohne Wohnmobile),6.83060109289617,3.156,4.23
Restaurants / Cafes / Straßenverkauf / Ähnliches,4.68197879858656,3.177,2.92
Andere Dienstleistungen für Fahrzeuge,8.70760769935839,1.321,2.26
Tabakwaren,4.88599348534202,2.081,1.99
Gemüse,8.12227074235807,1.108,1.77
Molkereiprodukte / Eier,5.84070796460177,1.419,1.63
Dienstl. für Instandhaltung u. Rep. der Wohnung,11.3848768054375,0.726,1.62
Fleisch / Fleischwaren,4.15584415584416,1.86,1.52
Wartung / Reparatur von Fahrzeugen,4.90848585690515,1.569,1.51
Möbel / Leuchten,4.54115421002839,1.65,1.47
Brot / Getreideerzeugnisse,4.85074626865671,1.503,1.43
Fernwärme u.A.,14.1213389121339,0.515,1.43
Kulturdienstleistungen,2.93560606060608,1.729,1
Andere Artikel u. Erzeugnisse für die Körperpflege,4.16666666666665,1.187,0.97
