ware,inflation,gewicht,anteil
Kraft- / Schmierstoffe für Fahrzeuge,47.1441523118767,3.525,22.42
Heizöl / einschließlich Umlage,106.583072100313,1.154,16.59
Gas / einschließlich Umlage,28.8442211055276,2.477,9.64
Strom,17.7477477477477,2.592,6.21
Nettokaltmiete,1.57261794634598,19.632,4.16
Pauschalreisen,11.244019138756,2.662,4.04
Personenkraftwagen (ohne Wohnmobile),8.4761045987376,3.156,3.61
Restaurants / Cafes / Straßenverkauf / Ähnliches,5.82010582010581,3.177,2.49
Gemüse,12.4125874125874,1.108,1.86
Tabakwaren,6.40713706407137,2.081,1.8
Andere Dienstleistungen für Fahrzeuge,9.38924339106655,1.321,1.67
Molkereiprodukte / Eier,7.20562390158173,1.419,1.38
Fleisch / Fleischwaren,5.0774526678141,1.86,1.27
Brot / Getreideerzeugnisse,6.18651892890121,1.503,1.25
Dienstl. für Instandhaltung u. Rep. der Wohnung,11.9694397283532,0.726,1.17
Bekleidungsartikel,2.62645914396888,3.267,1.16
Möbel / Leuchten,5.1643192488263,1.65,1.15
Fernwärme u.A.,16.371220020855,0.515,1.14
Wartung / Reparatur von Fahrzeugen,5.26315789473684,1.569,1.11
Übernachtungen,5.77981651376147,1.038,0.81
