"NA","Province/State","country","Lat","Long","1/22/20","1/23/20","1/24/20","1/25/20","1/26/20","1/27/20","1/28/20","1/29/20","1/30/20","1/31/20","2/1/20","2/2/20","2/3/20","2/4/20","2/5/20","2/6/20","2/7/20","2/8/20","2/9/20","2/10/20","2/11/20","2/12/20","2/13/20","2/14/20","2/15/20","2/16/20","2/17/20","2/18/20","2/19/20","2/20/20","2/21/20","2/22/20","2/23/20","2/24/20","2/25/20","2/26/20","2/27/20","2/28/20","2/29/20","3/1/20","3/2/20","3/3/20","3/4/20","3/5/20","3/6/20","3/7/20","3/8/20","3/9/20","3/10/20","3/11/20","3/12/20","3/13/20","3/14/20","3/15/20","3/16/20","3/17/20","3/18/20","3/19/20","3/20/20","3/21/20","3/22/20","3/23/20","3/24/20","3/25/20","3/26/20","3/27/20","3/28/20","3/29/20","3/30/20","3/31/20","4/1/20","4/2/20","4/3/20","4/4/20","4/5/20","4/6/20","4/7/20","4/8/20","4/9/20","4/10/20","4/11/20","4/12/20","4/13/20","4/14/20","4/15/20","4/16/20","4/17/20","4/18/20","4/19/20","4/20/20","4/21/20","4/22/20","4/23/20","4/24/20","4/25/20","4/26/20","4/27/20","4/28/20","4/29/20","4/30/20","5/1/20","5/2/20","5/3/20","5/4/20","5/5/20","5/6/20","5/7/20","5/8/20","5/9/20","5/10/20","5/11/20","5/12/20","5/13/20","5/14/20","5/15/20","5/16/20","5/17/20","5/18/20","5/19/20","5/20/20","5/21/20","5/22/20","5/23/20","5/24/20","5/25/20","5/26/20","5/27/20","5/28/20","5/29/20","5/30/20","5/31/20","6/1/20","6/2/20","6/3/20","6/4/20","6/5/20","6/6/20","6/7/20","6/8/20","6/9/20","6/10/20","6/11/20","6/12/20","6/13/20","6/14/20","6/15/20","6/16/20","6/17/20","6/18/20","6/19/20","6/20/20","6/21/20","6/22/20","6/23/20","6/24/20","6/25/20","6/26/20","6/27/20","6/28/20","6/29/20","6/30/20","7/1/20","7/2/20","7/3/20","7/4/20","7/5/20","7/6/20","7/7/20","7/8/20","7/9/20","7/10/20","7/11/20","7/12/20","7/13/20","7/14/20","7/15/20","7/16/20","7/17/20","7/18/20","7/19/20","7/20/20","7/21/20","7/22/20","7/23/20","7/24/20","7/25/20","7/26/20","7/27/20","7/28/20","7/29/20","7/30/20","7/31/20","8/1/20","8/2/20","8/3/20","8/4/20","8/5/20","8/6/20","8/7/20","8/8/20","8/9/20","8/10/20","8/11/20","8/12/20","8/13/20","8/14/20","8/15/20","8/16/20","8/17/20","8/18/20","8/19/20","8/20/20","8/21/20","8/22/20","8/23/20","8/24/20","8/25/20","8/26/20","8/27/20","8/28/20","8/29/20","8/30/20","8/31/20","9/1/20","9/2/20","9/3/20","9/4/20","9/5/20","9/6/20","9/7/20","9/8/20","9/9/20","9/10/20","9/11/20","9/12/20","9/13/20","9/14/20","9/15/20","9/16/20","9/17/20","9/18/20","9/19/20","9/20/20","9/21/20","9/22/20","9/23/20","9/24/20","9/25/20","9/26/20","9/27/20","9/28/20","9/29/20","9/30/20","10/1/20","10/2/20","10/3/20","10/4/20","10/5/20"
NA,"","Liberia","6.4280550000000005","-9.429499","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","3","3","3","3","3","3","3","4","4","4","4","7","7","7","7","7","20","20","25","25","25","25","45","45","45","45","48","58","58","58","75","79","79","79","79","85","85","101","105","108","116","120","123","125","128","131","136","136","139","141","144","144","144","146","148","157","159","167","169","175","176","185","194","195","199","200","206","210","214","219","221","222","240","250","250","254","254","260","270","270","278","285","291","298","312","324","335","338","346","369","377","377","394","395","398","400","420","423","439","439","447","486","496","519","534","547","575","592","613","621","631","641","646","646","664","667","670","673","673","696","698","699","705","705","714","723","725","736","738","738","738","788","788","803","803","803","803","803","816","816","819","821","832","832","832","872","872","872","1158","1162","1163","1163","1163","1182","1190","1194","1194","1194","1199","1210","1210","1213","1214","1214","1214","1214","1216","1216","1218","1218","1219","1221","1221","1221","1221","1221","1221","1221","1221","1221","1221","1236","1236"
NA,"","Libya","26.3351","17.228331","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","8","8","8","8","9","9","9","9","11","11","11","11","15","15","15","15","18","18","18","18","18","18","18","18","22","22","23","23","24","24","24","24","24","28","28","28","28","28","28","35","35","35","35","35","38","39","39","40","40","40","41","41","50","52","52","52","52","52","52","52","52","57","58","59","59","59","62","63","70","76","78","81","83","98","103","116","132","138","140","142","171","196","206","209","223","224","230","258","261","269","295","306","307","307","340","341","367","370","373","379","380","385","418","441","479","489","501","504","510","553","577","579","596","604","618","619","623","625","633","640","652","660","691","701","724","740","778","816","848","894","933","969","1003","1018","1047","1053","1085","1085","1096","1112","1152","1209","1310","1333","1410","1459","1676","1746","1856","1910","2025","2081","2126","2247","2329","2420","2506","12100","12183","12762","13252","13498","13908","14207","14679","15068","15384","15913","16430","16842","17508","17832","18128","18518","18902","19361","19894","20334","20889","21429","22076"
NA,"","Liechtenstein","47.14","9.55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","4","4","5","7","7","12","19","28","28","37","44","46","50","51","55","56","58","61","61","66","70","72","77","77","77","77","77","77","77","78","78","78","79","79","79","79","79","79","80","80","80","80","80","80","80","80","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","81","82","82","82","83","83","83","83","83","83","83","81","81","81","81","81","81","81","85","85","85","85","85","85","85","85","85","85","85","85","85","87","87","87","87","87","87","87","88","88","88","88","88","88","90","94","94","96","96","97","97","97","97","97","97","97","97","97","97","97","105","105","105","105","105","105","105","105","108","108","109","109","110","110","110","110","110","110","110","110","113","113","114","116","116","116","116"
NA,"","Lithuania","55.1694","23.8813","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","7","7","7","7","7","7","7","8","8","8","8","54","54","97","101","101","138","178","210","228","242","242","298","357","399","430","460","467","474","536","563","589","594","632","635","638","678","718","739","765","828","828","833","850","908","934","965","988","997","997","1025","1049","1049","1111","1135","1138","1138","1165","1184","1193","1216","1229","1236","1236","1249","1260","1273","1302","1321","1328","1331","1338","1369","1372","1400","1416","1427","1429","1441","1447","1449","1462","1470","1475","1475","1483","1484","1494","1501","1503","1503","1512","1515","1524","1536","1539","1545","1545","1547","1547","1552","1564","1569","1579","1571","1571","1571","1582","1593","1595","1600","1600","1601","1601","1607","1611","1616","1616","1616","1620","1623","1643","1643","1644","1644","1644","1645","1647","1650","1656","1658","1668","1670","1670","1679","1683","1689","1691","1704","1704","1705","1733","1739","1747","1755","1766","1766","1766","1785","1794","1802","1816","1833","1837","1840","1857","1874","1901","1920","1952","1954","1955","1994","2008","2030","2049","2070","2070","2071","2094","2125","2149","2181","2197","2198","2199","2225","2246","2253","2298","2319","2327","2327","2349","2365","2424","2466","2494","2495","2497"
NA,"","Luxembourg","49.8153","6.1296","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","6","6","6","40","40","40","40","80","80","80","500","500","500","500","500","500","500","500","500","500","500","500","526","552","579","601","627","637","670","711","728","3007","3088","3104","3123","3123","3134","3213","3213","3318","3379","3405","3412","3452","3505","3526","3550","3586","3602","3610","3629","3665","3682","3699","3702","3715","3718","3728","3741","3748","3758","3767","3781","3783","3791","3803","3815","3815","3833","3845","3848","3861","3874","3885","3888","3899","3901","3902","3904","3910","3918","3922","3929","3931","3933","3935","3940","3944","3951","3956","3959","3959","3965","3968","3968","3978","3978","3997","3998","4003","4012","4016","4016","4016","4016","4056","4056","4056","4086","4086","4086","4183","4195","4247","4275","4333","4333","4333","4464","4479","4530","4591","4647","4647","4647","4825","4855","4959","5027","5192","5192","5192","5498","5537","5623","5750","5848","5848","5848","6170","6222","6262","6414","6500","6500","6500","6739","6753","6813","6903","6969","6969","6969","7106","7114","7140","5854","5909","5942","5967","5984","5990","6015","6074","6126","6126","6126","6126","6266","6292","6367","6367","6421","6421","6555","6561","6593","6641","6703","6703","6703","6839","6848","6862","6910","6976","6976","6976","7128","7136","7174","7280","7428","7428","7428","7793"
NA,"","MS Zaandam","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"","Madagascar","-18.766947000000002","46.869107","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","7","11","11","11","11","20","21","23","29","33","33","35","39","41","44","52","58","61","62","71","75","82","90","92","94","97","98","99","101","101","101","101","101","101","101","101","107","108","112","114","114","119","119","131","131","135","138","142","147","147","151","154","164","165","168","174","185","195","200","201","212","233","254","274","296","312","344","362","367","384","417","450","463","498","618","655","692","732","779","823","862","907","944","966","994","1006","1040","1057","1078","1108","1135","1187","1761","1950","2183","2287","2378","2494","2646","2811","2951","3108","3339","3498","3788","4286","4662","5160","5522","5579","5579","6260","6613","7117","7461","7807","8109","8444","8825","9286","9798","10148","10412","10604","10816","11011","11276","11529","11780","12011","12232","12424","12603","12767","12921","13038","13206","13332","13355","13436","13492","13582","13686","13709","13753","13802","13832","13915","13965","14031","14075","14113","14139","14184","14219","14243","14295","14320","14349","14368","14411","14452","14482","14547","14587","14630","14646","14682","14743","14788","14833","14867","14922","14922","14947","15139","15301","15430","15467","15480","15486","15601"
NA,"","Malawi","-13.2543","34.3015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","3","3","3","3","3","4","4","4","4","5","7","7","9","9","9","9","9","9","14","14","14","14","24","24","24","24","24","24","27","27","27","27","27","28","28","33","33","37","37","37","42","42","42","42","42","51","51","55","55","55","55","55","55","55","65","66","69","69","73","73","74","91","91","258","258","258","259","260","260","260","260","260","260","260","271","317","317","317","317","317","345","369","379","517","557","747","795","1005","1073","1107","1111","1135","1153","1180","1282","1282","1373","1373","1639","1645","1667","1728","1760","1875","1914","1919","1945","2047","2078","2137","2184","2329","2375","2430","2477","2529","2550","2576","2623","2626","2690","2716","2857","2883","2929","2998","3012","3059","3066","3085","3121","3143","3143","3147","3160","3420","3500","3516","3533","3551","3551","3590","3630","3630","3683","3720","3724","3731","3742","3762","3764","4000","4026","4030","4040","4053","4065","4140","4163","4178","4185","4206","4243","4245","4263","4514","4535","4539","4541","4541"
NA,"","Malaysia","4.210483999999999","101.97576600000001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","3","3","3","3","7","7","7","13","15","15","15","15","15","18","18","18","18","18","18","18","18","22","22","22","22","23","24","24","24","26","26","26","35","42","42","49","60","75","87","114","139","139","183","199","215","259","320","388","479","537","645","767","827","915","1005","1241","1321","1487","1608","1830","1995","2108","2276","2478","2647","2766","2967","3102","3197","3295","3349","3452","3542","3663","3762","3862","3957","4032","4087","4171","4210","4326","4413","4484","4567","4702","4776","4864","4929","5025","5113","5223","5281","5351","5439","5512","5571","5615","5646","5706","5796","5859","5912","5945","5979","6041","6083","6169","6235","6330","6353","6404","6470","6531","6559","6610","6635","6674","6694","6975","7014","7065","7168","7311","7346","7400","7733","7873","8000","8070","8146","8156","8177","8186","8231","8271","8294","8308","8318","8334","8354","8375","8437","8446","8461","8465","8476","8481","8486","8499","8511","8515","8519","8520","8524","8526","8538","8541","8546","8553","8555","8562","8566","8574","8577","8594","8600","8601","8607","8612","8617","8644","8647","8664","8668","8684","8702","8713","8728","8775","8784","8803","8809","8817","8821","8828","8831","8859","8876","8902","8925","8932","8945","8949","8959","8965","8971","8978","8994","9030","9038","9048","9054","9075","9079","9083","9092","9113","9115","9124","9136","9143","9167","9181","9189","9196","9203","9209","9235","9250","9264","9315","9355","9395","9563","9602","9666","9696","9785","9835","9889","9939","9967","10014","10095","10216","10283","10340"
NA,"","Maldives","3.2028","73.2207","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","8","8","9","9","13","13","13","13","13","13","13","13","13","13","13","13","13","13","14","14","16","16","16","16","16","16","16","16","16","16","16","17","17","17","17","17","17","17","18","18","18","20","20","20","20","29","29","29","29","40","45","49","58","58","58","91","91","91","109","128","144","155","197","197","197","197","406","453","488","608","644","648","717","763","827","925","1010","1121","1153","1193","1217","1311","1540","1670","1677","1677","1769","1788","1803","1813","1813","1839","1848","1863","1875","1911","1927","1944","1954","1969","1976","1976","2049","2113","2158","2180","2227","2238","2268","2284","2290","2302","2321","2339","2340","2354","2362","2369","2397","2397","2428","2498","2498","2528","2547","2547","2554","2568","2607","2613","2643","2670","2693","2703","2725","2754","2791","2804","2835","2849","2884","2920","3010","3208","3349","3488","3648","3788","3915","4012","4113","4222","4297","4439","4561","4691","4873","4925","5036","5155","5265","5338","5483","5642","5822","5936","6052","6157","6288","6559","6846","7055","7326","7536","7729","7903","8033","8077","8188","8261","8390","8438","8530","8597","8673","8754","8847","8950","9037","9108","9187","9213","9310","9364","9427"
