id,wahlkreis,berechtigt,gültig,SPD,CDU,Grüne,FDP,Linke,AfD,partei,max
1,Stuttgart I,97666,72839,10.7,18.9,42.4,9.7,7.3,7,Grüne,3
2,Stuttgart II,92379,71144,10.6,24.4,37.2,10.7,3.3,10.6,Grüne,3
3,Stuttgart III,90726,62994,12.9,23.5,30.7,9.1,4.4,15.3,Grüne,3
4,Stuttgart IV,92663,63291,13.5,22.2,34.4,8,5.9,12,Grüne,3
5,Böblingen,130256,91984,13.8,27.6,27.7,8.9,2.4,16.5,Grüne,3
6,Leonberg,128472,95760,11.3,27.4,31.9,9.5,2.2,14.9,Grüne,3
7,Esslingen,112285,82044,16.4,26,32.3,6.8,2.8,12.2,Grüne,3
8,Kirchheim,120290,88820,14.1,26.5,30.5,8.2,1.8,14.2,Grüne,3
9,Nürtingen,125035,92894,10.5,25.2,34.9,9.1,2.1,14.4,Grüne,3
10,Göppingen,94568,64146,14.8,23.4,29.1,8.3,2.1,17.4,Grüne,3
11,Geislingen,89293,64095,15.3,28.2,27.8,7.6,1.8,16,CDU,2
12,Ludwigsburg,123843,87898,13,23.2,33.5,8.9,2.9,15,Grüne,3
13,Vaihingen,114552,86205,11.5,27,33.1,9,2.2,14.1,Grüne,3
14,Bietigheim-Bissingen,124674,92068,13,25.7,32.1,9.2,2.3,15,Grüne,3
15,Waiblingen,106092,77299,13.8,26.2,27.8,11.4,2.7,14.7,Grüne,3
16,Schorndorf,96116,71380,12.6,25.8,27.1,12.6,2.2,15.4,Grüne,3
17,Backnang,93110,66611,15.7,27.7,22.3,8,2.1,19.7,CDU,2
18,Heilbronn,100841,65958,15,22.7,27.1,10.2,2.9,18.2,Grüne,3
19,Eppingen,104514,74413,13.4,26.6,26.1,9.6,2.1,18.3,CDU,2
20,Neckarsulm,111894,77914,17.6,25.8,23.8,8.1,2.5,18.7,CDU,2
21,Hohenlohe,99424,68660,11.5,28.1,27.1,10,2.4,17.1,CDU,2
22,Schwäbisch Hall,125287,83612,14,23,27.5,11.3,2.4,17.8,Grüne,3
23,Main-Tauber,102362,71200,11.5,35.4,21.3,7.5,2.8,17.2,CDU,2
24,Heidenheim,94314,61767,19.4,25.1,26.1,5.7,2.9,17.2,Grüne,3
25,Schwäbisch Gmünd,107859,75656,13.6,31.4,25.6,7.1,2.8,16.2,CDU,2
26,Aalen,122026,85209,12,35.4,25.9,6.2,3.1,14.5,CDU,2
27,Karlsruhe I,103271,72971,13.2,21.2,36.2,7.7,4.8,12,Grüne,3
28,Karlsruhe II,102308,68497,13.4,21,35.1,6.7,4.9,13.9,Grüne,3
29,Bruchsal,113214,79405,11.9,30,24.2,8.2,2.4,19.7,CDU,2
30,Bretten,113901,81292,12.1,27.2,27.5,8.3,2.2,18.5,Grüne,3
31,Ettlingen,94772,69372,13.8,28.8,29.5,8.5,2.5,14.1,Grüne,3
32,Rastatt,113868,75647,17.6,25.6,26.4,6.2,2.3,17.6,Grüne,3
33,Baden-Baden,91743,62418,10,29.3,32.7,8.5,2.4,14.5,Grüne,3
34,Heidelberg,98081,68530,12.1,19.2,41,8,6.1,10.9,Grüne,3
35,Mannheim I,91837,53384,22.2,17.2,21.9,6,5.1,23,AfD,6
36,Mannheim II,104833,68341,16.8,20.9,31.4,8.4,4.5,14.4,Grüne,3
37,Wiesloch,99908,70140,12.3,28.4,28.2,7.4,2.6,18.6,CDU,2
38,Neckar-Odenwald,108962,73725,15.2,34.2,19.7,7,2.3,18,CDU,2
39,Weinheim,107402,78258,15.3,25.8,29.2,8.8,3,15.2,Grüne,3
40,Schwetzingen,92617,64507,15.4,25,26.6,7,3,19.1,Grüne,3
41,Sinsheim,97608,68601,15,26.6,26.8,7.7,2.7,18,Grüne,3
42,Pforzheim,94642,60129,11.4,22.4,24.1,10.6,3.4,24.2,AfD,6
43,Calw,110797,78066,11.6,31.5,24.3,8.1,2.2,19.1,CDU,2
44,Enz,124758,91867,12.3,24.7,26.9,10.4,2,19.2,Grüne,3
45,Freudenstadt,86449,59459,10.8,30.3,21.3,13.5,1.9,17.6,CDU,2
46,Freiburg I,125440,91476,11.7,25.6,38.9,7.5,4.8,8.4,Grüne,3
47,Freiburg II,124903,85828,13.8,17.2,40.5,6.1,7.7,10.6,Grüne,3
48,Breisgau,126484,90467,12.2,27.8,35.1,7.4,2.6,11.5,Grüne,3
49,Emmendingen,122345,86446,13.4,24.5,35.5,7.5,2.7,11.6,Grüne,3
50,Lahr,109901,71660,13,28,30.7,6.7,2.4,15,Grüne,3
51,Offenburg,99217,67124,10.6,28.4,33.7,7.4,2.2,14.1,Grüne,3
52,Kehl,105364,69206,12.2,30.8,28.8,8.1,2.3,15,CDU,2
53,Rottweil,102909,70953,8.6,33,26,8.5,1.9,16.4,CDU,2
54,Villingen-Schwenningen,121156,81425,10,29,31.6,7.9,2,14.8,Grüne,3
55,Tuttlingen-Donaueschingen,124057,84491,8.8,33.7,27,8.3,2.1,15.9,CDU,2
56,Konstanz,101097,71101,12.2,22.6,39.6,9.1,3.9,9.4,Grüne,3
57,Singen,101365,66809,12.8,27.8,28.8,8.3,2.2,15.7,Grüne,3
58,Lörrach,125929,80784,16.7,25.2,31.7,6.5,2.7,13.2,Grüne,3
59,Waldshut,122603,78199,12.3,30.8,30.4,7.4,2.2,12.3,CDU,2
60,Reutlingen,127898,90077,14.2,23.9,31.2,8.4,3.4,15.1,Grüne,3
61,Hechingen-Münsingen,118891,85181,11.2,28.5,27.8,11.4,2.2,16.1,CDU,2
62,Tübingen,128848,96177,12.7,23.5,38,6.4,5.4,10.2,Grüne,3
63,Balingen,120378,81110,9.9,29.5,29,8.1,2.3,17.9,CDU,2
64,Ulm,120198,79963,14.7,25.2,33,7.3,2.9,13,Grüne,3
65,Ehingen,100504,71402,9.1,36.2,27.6,6.5,1.6,16,CDU,2
66,Biberach,128547,90716,7.3,35.9,29.4,7.2,1.9,15,CDU,2
67,Bodensee,129785,92731,10.1,27.4,35.7,9.1,2.7,12.4,Grüne,3
68,Wangen,123399,84331,7.5,35.1,30.3,6.1,1.9,13.9,CDU,2
69,Ravensburg,124396,86782,8.5,31,33.1,9.1,2.5,12.1,Grüne,3
70,Sigmaringen,96338,66341,6.8,32.3,33.7,7.5,1.8,14.7,Grüne,3
