"name","advantage","electoral","population","percentbiden","percenttrump"
"Arizona",-3.6,11,7171646,45.1,48.7
"North Carolina",-3.59999999999999,15,10383620,46.2,49.8
"Florida",-1.2,29,21299325,47.8,49
"Pennsylvania",-0.700000000000003,20,12807060,47.5,48.2
"Wisconsin",-0.700000000000003,10,5813568,46.5,47.2
"Michigan",-0.200000000000003,16,9995915,47.3,47.5
"New Hampshire",0.299999999999997,4,1356458,46.8,46.5
"Minnesota",1.5,10,5611179,46.4,44.9
"Nevada",2.4,6,3034392,47.9,45.5
"Maine",2.9,4,1338404,47.8,44.9
"Colorado",4.90000000000001,9,5695564,48.2,43.3
