Datum,Meldedatum,Krankheitsbeginn
02/03/2020,33,224
03/03/2020,38,261
04/03/2020,52,325
05/03/2020,109,394
06/03/2020,185,508
07/03/2020,150,674
08/03/2020,163,895
09/03/2020,265,1274
10/03/2020,184,1727
11/03/2020,271,2292
12/03/2020,802,2859
13/03/2020,693,3444
14/03/2020,733,3909
15/03/2020,1043,4269
16/03/2020,1174,4873
17/03/2020,1144,5092
18/03/2020,1042,5305
19/03/2020,2801,5317
20/03/2020,2958,5143
21/03/2020,2705,4945
22/03/2020,1948,4577
23/03/2020,4062,4685
24/03/2020,4764,4372
25/03/2020,4118,4365
26/03/2020,4954,4409
27/03/2020,5780,4151
28/03/2020,6294,4106
29/03/2020,3965,3817
30/03/2020,4751,3917
31/03/2020,4615,3780
01/04/2020,5453,3818
02/04/2020,6156,3935
03/04/2020,6174,3769
04/04/2020,6082,3625
05/04/2020,5936,3289
06/04/2020,3677,3194
07/04/2020,3834,3026
08/04/2020,4003,2994
09/04/2020,4974,2996
10/04/2020,5323,2741
11/04/2020,4133,2480
12/04/2020,2821,2248
13/04/2020,2537,2044
14/04/2020,2082,1950
15/04/2020,2486,1931
16/04/2020,2866,1881
17/04/2020,3380,1820
18/04/2020,3609,1691
19/04/2020,2458,1535
20/04/2020,1775,1491
21/04/2020,1785,1417
22/04/2020,2237,1382
23/04/2020,2352,1371
24/04/2020,2337,1264
25/04/2020,2055,1179
26/04/2020,1737,1082
27/04/2020,1018,1041
28/04/2020,1144,990
29/04/2020,1304,955
30/04/2020,1478,963
01/05/2020,1639,891
02/05/2020,945,840
03/05/2020,793,812
04/05/2020,679,800
05/05/2020,685,801
06/05/2020,947,801
07/05/2020,1284,788
08/05/2020,1209,735
09/05/2020,1251,677
10/05/2020,667,629
11/05/2020,357,621
12/05/2020,933,606
13/05/2020,798,607
14/05/2020,933,599
15/05/2020,913,602
16/05/2020,620,586
17/05/2020,583,551
18/05/2020,342,574
19/05/2020,513,522
20/05/2020,797,523
21/05/2020,745,509
22/05/2020,460,453
23/05/2020,638,426
24/05/2020,431,378
25/05/2020,289,397
26/05/2020,432,409
27/05/2020,362,432
28/05/2020,353,434
29/05/2020,741,404
30/05/2020,738,367
31/05/2020,286,321
01/06/2020,333,308
02/06/2020,213,331
03/06/2020,342,359
04/06/2020,394,378
05/06/2020,507,375
06/06/2020,407,340
07/06/2020,301,298
08/06/2020,214,315
09/06/2020,350,348
10/06/2020,318,382
11/06/2020,555,416
12/06/2020,258,407
13/06/2020,348,386
14/06/2020,247,366
15/06/2020,192,434
16/06/2020,378,621
17/06/2020,345,696
18/06/2020,580,740
19/06/2020,770,721
20/06/2020,601,560
21/06/2020,687,486
22/06/2020,537,471
23/06/2020,503,435
24/06/2020,587,435
25/06/2020,630,444
26/06/2020,477,433
27/06/2020,687,414
28/06/2020,256,375
29/06/2020,262,379
30/06/2020,498,380
01/07/2020,466,394
02/07/2020,503,402
03/07/2020,446,383
04/07/2020,422,349
05/07/2020,239,320
06/07/2020,219,328
07/07/2020,390,334
08/07/2020,397,349
09/07/2020,442,370
10/07/2020,395,384
11/07/2020,378,388
12/07/2020,248,388
13/07/2020,159,430
14/07/2020,412,451
15/07/2020,351,495
16/07/2020,534,522
17/07/2020,583,519
18/07/2020,529,512
19/07/2020,202,501
20/07/2020,249,557
21/07/2020,522,599
22/07/2020,454,660
23/07/2020,569,700
24/07/2020,815,701
25/07/2020,781,680
26/07/2020,305,649
27/07/2020,340,685
28/07/2020,633,703
29/07/2020,684,734
30/07/2020,902,774
31/07/2020,870,762
01/08/2020,955,776
02/08/2020,240,812
03/08/2020,509,891
04/08/2020,879,945
05/08/2020,741,987
06/08/2020,1045,1015
07/08/2020,1147,1008
08/08/2020,1122,1011
09/08/2020,555,1024
10/08/2020,436,1125
11/08/2020,966,1191
12/08/2020,1226,1269
13/08/2020,1445,1346
14/08/2020,1449,1323
15/08/2020,1415,1297
16/08/2020,625,1261
17/08/2020,561,1279
18/08/2020,1390,1316
19/08/2020,1510,1338
20/08/2020,1707,1328
21/08/2020,1427,1264
22/08/2020,2034,1178
23/08/2020,782,1142
24/08/2020,711,1218
25/08/2020,1278,1262
26/08/2020,1576,1286
27/08/2020,1507,1305
28/08/2020,1571,1230
29/08/2020,1479,1136
30/08/2020,785,1092
31/08/2020,610,1123
01/09/2020,1218,1208
02/09/2020,1256,1298
03/09/2020,1311,1353
04/09/2020,1453,1333
05/09/2020,1378,1253
06/09/2020,988,1247
07/09/2020,814,1334
08/09/2020,1499,1413
09/09/2020,1176,1526
10/09/2020,1892,1610
11/09/2020,1484,1620
12/09/2020,1630,1606
13/09/2020,948,1599
14/09/2020,927,1721
15/09/2020,1407,1805
16/09/2020,1901,1889
17/09/2020,2194,1924
18/09/2020,1916,1821
19/09/2020,2297,1703
20/09/2020,1345,1644
21/09/2020,922,1756
22/09/2020,1821,1863
23/09/2020,1769,2010
24/09/2020,2143,2117
25/09/2020,2153,2114
26/09/2020,2507,2060
27/09/2020,1410,2010
28/09/2020,1192,2156
29/09/2020,2089,2308
30/09/2020,1798,2524
01/10/2020,2503,2807
02/10/2020,2673,2988
03/10/2020,2563,3141
04/10/2020,2279,3304
05/10/2020,1382,3743
06/10/2020,2639,4098
07/10/2020,2828,4482
08/10/2020,4058,4875
09/10/2020,4516,5034
10/10/2020,4721,5168
11/10/2020,3483,5320
12/10/2020,2467,5950
13/10/2020,4122,6579
14/10/2020,5132,7356
15/10/2020,6638,8151
16/10/2020,7334,8671
17/10/2020,7830,9052
18/10/2020,5587,9582
19/10/2020,4325,10885
20/10/2020,6868,12227
21/10/2020,7595,13733
22/10/2020,11287,14858
23/10/2020,11242,15350
24/10/2020,14714,15367
25/10/2020,11176,15421
26/10/2020,8685,16422
27/10/2020,11409,17029
28/10/2020,14964,17758
29/10/2020,16774,18030
30/10/2020,18681,17571
31/10/2020,19059,16931
01/11/2020,14177,16636
02/11/2020,12097,17695
03/11/2020,15352,18167
04/11/2020,17214,18746
05/11/2020,19990,18719
06/11/2020,21506,17518
07/11/2020,23399,16536
08/11/2020,16017,15826
09/11/2020,13363,16385
10/11/2020,15332,16999
11/11/2020,18487,17737
12/11/2020,21866,18382
13/11/2020,23542,18245
14/11/2020,22461,17715
15/11/2020,16947,17378
16/11/2020,10824,18052
17/11/2020,14419,18420
18/11/2020,17561,18978
19/11/2020,22609,19135
20/11/2020,23648,18166
21/11/2020,22964,16795
22/11/2020,15741,15836
23/11/2020,10864,15970
24/11/2020,13554,16082
25/11/2020,18633,16497
26/11/2020,22268,16444
27/11/2020,22806,
28/11/2020,21695,
29/11/2020,14611,
30/11/2020,11169,
01/12/2020,13604,
