date,geliefert,verimpft,rueckstau,average
2020-12-27,151125,24375,126750,
2020-12-28,672750,42474,630276,
2020-12-29,672750,93177,579573,
2020-12-30,1326000,157377,1168623,
2020-12-31,1326000,207393,1118607,
2021-01-01,1326000,233078,1092922,
2021-01-02,1326000,281162,1044838,823084
2021-01-03,1326000,303750,1022250,951013
2021-01-04,1326000,349958,976042,1000408
2021-01-05,1326000,402701,923299,1049512
2021-01-06,1326000,465883,860117,1005439
2021-01-07,1326000,520886,805114,960655
2021-01-08,2013375,583755,1429620,1008754
2021-01-09,2013375,644521,1368854,1055042
2021-01-10,2013375,680538,1332837,1099412
2021-01-11,2013375,749193,1264182,1140575
2021-01-12,2076975,828370,1248605,1187047
2021-01-13,2076975,940676,1136299,1226502
2021-01-14,2076975,1024823,1052152,1261793
2021-01-15,2076975,1116641,960334,1194752
2021-01-16,2076975,1174733,902242,1128093
2021-01-17,2076975,1222555,854420,1059748
2021-01-18,2076975,1305814,771161,989316
2021-01-19,2919375,1425626,1493749,1024337
2021-01-20,2919375,1558529,1360846,1056415
2021-01-21,2919375,1664086,1255289,1085434
2021-01-22,2919375,1766435,1152940,1112950
2021-01-23,2919375,1853493,1065882,1136327
2021-01-24,2919375,1901316,1018059,1159704
2021-01-25,2919375,1992345,927030,1181971
2021-01-26,3408435,2090888,1317547,1156799
2021-01-27,3408435,2200372,1208063,1134973
2021-01-28,3408435,2292947,1115488,1115001
2021-01-29,3408435,2400731,1007704,1094253
2021-01-30,3408435,2488845,919590,1073354
2021-01-31,3498435,2546082,952353,1063968
2021-02-01,3498435,2666537,831898,1050378
2021-02-02,4246065,2799411,1446654,1068821
2021-02-03,4246065,2962515,1283550,1079605
2021-02-04,4246065,3097147,1148918,1084381
2021-02-05,4246065,3244747,1001318,1083469
2021-02-06,4591665,3338963,1252702,1131056
2021-02-07,4591665,3392548,1199117,1166308
2021-02-08,4591665,3502067,1089598,1203122
2021-02-09,5339295,3636829,1702466,1239667
2021-02-10,5339295,3792388,1546907,1277289
2021-02-11,5339295,3937099,1402196,1313472
2021-02-12,5730495,4093355,1637140,1404304
2021-02-13,5730495,4201237,1529258,1443812
2021-02-14,5730495,4266710,1463785,1481621
2021-02-15,5912895,4392579,1520316,1543153
2021-02-16,6817305,4527534,2289771,1627053
2021-02-17,6817305,4679473,2137832,1711471
2021-02-18,6817305,4824683,1992622,1795818
2021-02-19,7532505,4983788,2548717,1926043
2021-02-20,7532505,5096344,2436161,2055601
2021-02-21,7532505,5182389,2350116,2182219
2021-02-22,7532505,5339097,2193408,2278375
2021-02-23,8459145,5509711,2949434,2372613
2021-02-24,8459145,5686892,2772253,2463244
2021-02-25,8459145,5877262,2581883,2547425
2021-02-26,8459145,6091469,2367676,2521562
2021-02-27,8802045,6239776,2562269,2539577
2021-02-28,8802045,6343400,2458645,2555081
