land,sex,name,party,party_en,M,W,M.1,W.1
Australien,M,Kevin Rudd,Australian Labor Party,Australian Labor Party,4.0351,,3.2632,
Belgien,M,Guy Verhofstadt,Partij voor Vrijheid en Vooruitgang | Vlaamse Liberalen en Democraten,Party of Liberty and Progress | Flemish Liberals and Democrats,7.7639,,3.7139,
Belgien,M,Herman Van Rompuy,Christelijke Volkspartij | Christen-Democratisch en Vlaams,Flemish Christian Peoples Party | Christian Democrats & Flemish,5.5876,,7.2083,
Belgien,M,Charles Michel,Mouvement Réformateur,Reformist Movement,7.1934,,4.2102,
Belgien,M,Alexander De Croo,Partij voor Vrijheid en Vooruitgang | Vlaamse Liberalen en Democraten,Party of Liberty and Progress | Flemish Liberals and Democrats,7.7639,,3.7139,
Bulgarien,M,Sergey Stanishev,Koalitsiya za Balgariya | Demokratichna Levitsa,Coalition for Bulgaria | Democratic Left,2.9629,,5.741,
Dänemark,M,Lars Løkke Rasmussen I,Venstre,Liberal Party,7.3696,,4.9957,
Dänemark,M,Lars Løkke Rasmussen II,Venstre,Liberal Party,7.3696,,4.9957,
Estland,M,Juhan Parts,Erakond Res Publica,Res Publica Party,8.2456,,6.1053,
Estland,M,Jüri Ratas,Eesti Keskerakond,Estonian Centre Party,3.6421,,4.9947,
Frankreich,M,François Hollande,Parti socialiste,Socialist Party,3.248,,2.9367,
Frankreich,M,Emmanuel Macron,La République En Marche!,The Republic Onwards!,6.7,,3.6,
Großbritannien,M,David Cameron,Conservatives,Conservatives,7.5725,,7.1901,
Großbritannien,M,Boris Johnson,Conservatives,Conservatives,7.5725,,7.1901,
Israel,M,Ehud Barak,HaMa'arakh | HaAvoda,Alignment | Labor,3.5,,3.5,
Israel,M,Ariel Sharon,Likud,The Consolidation,7.4912,,6,
Israel,M,Benjamin Netanyahu,Likud,The Consolidation,7.4912,,6,
Italien,M,Silvio Berlusconi,Forza Italia – Il Popolo della Libertà,Go Italy -- The People of Freedom,7.913,,6.5983,
Japan,M,Yukio Hatoyama,Minshuto,Democratic Party of Japan,5.06,,4.1541,
Japan,M,Naoto Kan,Minshuto,Democratic Party of Japan,5.06,,4.1541,
Japan,M,Yoshihiko Noda,Minshuto,Democratic Party of Japan,5.06,,4.1541,
Kanada,M,Stephen Harper,Conservative Party of Canada,Conservative Party of Canada,8.7668,,9.0688,
Kroatien,M,Ivo Sanader,Hrvatska demokratska zajednica,Croatian Democratic Union,5.7018,,6.9298,
Kroatien,M,Andrej Plenkovic,Hrvatska demokratska zajednica,Croatian Democratic Union,5.7018,,6.9298,
Lettland,M,Einars Repše,Jaunais Laiks,New Era,7.0789,,5.6407,
Lettland,M,Aigars Kalvitis,Tautas Partija,People's Party,7.7942,,6.1316,
Lettland,M,Valdis Dombrovskis,Jaunais Laiks,New Era,7.0789,,5.6407,
Lettland,M,Arturs Krišjanis Karinš,Vienotiba,Unity,6.4,,7,
Litauen,M,Andrius Kubilius,Tevynes sajunga,Homeland Union,6.694,,7.1939,
Litauen,M,Saulius Skvernelis,Lietuvos valstieciu sajunga,Lithuanian Peasant Union,3.7152,,5.8514,
Luxemburg,M,Jean-Claude Juncker,Chrëschtlech Sozial Vollekspartei,Christian Social People's Party,6.7105,,7.5,
Malta,M,Joseph Muscat,Partit Laburista,Malta Labour Party,5.1128,,6.3158,
Malta,M,Robert Abela,Partit Laburista,Malta Labour Party,5.1128,,6.3158,
Niederlande,M,Jan Peter Balkenende,Christen Democratisch Appèl,Christian Democratic Appeal,5.8848,,6.6882,
Niederlande,M,Mark Rutte,Volkspartij voor Vrijheid en Democratie,People's Party for Freedom and Democracy,7.8979,,4.3887,
Norwegen,M,Kjell Magne Bondevik,Kristelig Folkeparti,Christian Democratic Party,4.5865,,9.198,
Polen,M,Jerzy Buzek,Akcja Wyborcza Solidarnosc Prawicy,Solidarity Electoral Action,4.6148,,8.1427,
Polen,M,Leszek Miller,Sojusz Lewicy Demokratycznej,Democratic Left Alliance,3.8505,,1.8801,
Polen,M,Marek Belka,Sojusz Lewicy Demokratycznej,Democratic Left Alliance,3.8505,,1.8801,
Polen,M,Donald Tusk,Platforma Obywatelska,Civic Platform,8.236,,3.7102,
Schweden,M,Göran Persson,Socialdemokraterna,Social Democrats,3.5655,,4.4407,
Schweden,M,Fredrik Reinfeldt,Moderaterna,Moderate Party,8.4089,,5.6977,
Schweden,M,Stefan Löfven,Socialdemokraterna,Social Democrats,3.5655,,4.4407,
Slowakei,M,Robert Fico,Smer – sociálna demokracia,Direction -- Social Democracy,3.5124,,3.6548,
Slowakei,M,Peter Pellegrini,Smer – sociálna demokracia,Direction -- Social Democracy,3.5124,,3.6548,
Slowenien,M,Andrej Bajuk,Slovenska ljudska stranka,Slovenian People's Party,5.0282,,7.6299,
Slowenien,M,Janez Janša,Slovenska demokratska stranka,Slovenian Democratic Party,5.6339,,6.7947,
Slowenien,M,Marjan Šarec,Lista Marjana Šarca,List of Marjan Sarec,3.5,,3.5,
Tschechien,M,Andrej Babiš,Akce nespokojených obcanu,Action of Dissatisfied Citizens,6.7,,3.6,
Türkei,M,Abdullah Gül,Adalet ve Kalkinma Partisi,Justice and Development Party,3.797,,8.499,
Türkei,M,Recep Tayyip Erdogan,Adalet ve Kalkinma Partisi,Justice and Development Party,3.797,,8.499,
Ungarn,M,Viktor Orbán,Fidesz – Magyar Polgári Szövetség,Fidesz -- Hungarian Civic Union,3.9949,,7.5275,
