woche,Baden-Württemberg 2016,Baden-Württemberg 2017,Baden-Württemberg 2018,Baden-Württemberg 2019,Baden-Württemberg 2020,Baden-Württemberg 2021,Baden-Württemberg 2022,Baden-Württemberg Covid-19 2020,Baden-Württemberg Covid-19 2021,Baden-Württemberg Covid-19 2022,Baden-Württemberg Ø2016-19,Bayern 2016,Bayern 2017,Bayern 2018,Bayern 2019,Bayern 2020,Bayern 2021,Bayern 2022,Bayern Covid-19 2020,Bayern Covid-19 2021,Bayern Covid-19 2022,Bayern Ø2016-19,Berlin 2016,Berlin 2017,Berlin 2018,Berlin 2019,Berlin 2020,Berlin 2021,Berlin 2022,Berlin Covid-19 2020,Berlin Covid-19 2021,Berlin Covid-19 2022,Berlin Ø2016-19,Brandenburg 2016,Brandenburg 2017,Brandenburg 2018,Brandenburg 2019,Brandenburg 2020,Brandenburg 2021,Brandenburg 2022,Brandenburg Covid-19 2020,Brandenburg Covid-19 2021,Brandenburg Covid-19 2022,Brandenburg Ø2016-19,Bremen 2016,Bremen 2017,Bremen 2018,Bremen 2019,Bremen 2020,Bremen 2021,Bremen 2022,Bremen Covid-19 2020,Bremen Covid-19 2021,Bremen Covid-19 2022,Bremen Ø2016-19,Deutschland 2016,Deutschland 2017,Deutschland 2018,Deutschland 2019,Deutschland 2020,Deutschland 2021,Deutschland 2022,Deutschland Covid-19 2020,Deutschland Covid-19 2021,Deutschland Covid-19 2022,Deutschland Ø2016-19,Hamburg 2016,Hamburg 2017,Hamburg 2018,Hamburg 2019,Hamburg 2020,Hamburg 2021,Hamburg 2022,Hamburg Covid-19 2020,Hamburg Covid-19 2021,Hamburg Covid-19 2022,Hamburg Ø2016-19,Hessen 2016,Hessen 2017,Hessen 2018,Hessen 2019,Hessen 2020,Hessen 2021,Hessen 2022,Hessen Covid-19 2020,Hessen Covid-19 2021,Hessen Covid-19 2022,Hessen Ø2016-19,Mecklenburg-Vorpommern 2016,Mecklenburg-Vorpommern 2017,Mecklenburg-Vorpommern 2018,Mecklenburg-Vorpommern 2019,Mecklenburg-Vorpommern 2020,Mecklenburg-Vorpommern 2021,Mecklenburg-Vorpommern 2022,Mecklenburg-Vorpommern Covid-19 2020,Mecklenburg-Vorpommern Covid-19 2021,Mecklenburg-Vorpommern Covid-19 2022,Mecklenburg-Vorpommern Ø2016-19,Niedersachsen 2016,Niedersachsen 2017,Niedersachsen 2018,Niedersachsen 2019,Niedersachsen 2020,Niedersachsen 2021,Niedersachsen 2022,Niedersachsen Covid-19 2020,Niedersachsen Covid-19 2021,Niedersachsen Covid-19 2022,Niedersachsen Ø2016-19,Nordrhein-Westfalen 2016,Nordrhein-Westfalen 2017,Nordrhein-Westfalen 2018,Nordrhein-Westfalen 2019,Nordrhein-Westfalen 2020,Nordrhein-Westfalen 2021,Nordrhein-Westfalen 2022,Nordrhein-Westfalen Covid-19 2020,Nordrhein-Westfalen Covid-19 2021,Nordrhein-Westfalen Covid-19 2022,Nordrhein-Westfalen Ø2016-19,Rheinland-Pfalz 2016,Rheinland-Pfalz 2017,Rheinland-Pfalz 2018,Rheinland-Pfalz 2019,Rheinland-Pfalz 2020,Rheinland-Pfalz 2021,Rheinland-Pfalz 2022,Rheinland-Pfalz Covid-19 2020,Rheinland-Pfalz Covid-19 2021,Rheinland-Pfalz Covid-19 2022,Rheinland-Pfalz Ø2016-19,Saarland 2016,Saarland 2017,Saarland 2018,Saarland 2019,Saarland 2020,Saarland 2021,Saarland 2022,Saarland Covid-19 2020,Saarland Covid-19 2021,Saarland Covid-19 2022,Saarland Ø2016-19,Sachsen-Anhalt 2016,Sachsen-Anhalt 2017,Sachsen-Anhalt 2018,Sachsen-Anhalt 2019,Sachsen-Anhalt 2020,Sachsen-Anhalt 2021,Sachsen-Anhalt 2022,Sachsen-Anhalt Covid-19 2020,Sachsen-Anhalt Covid-19 2021,Sachsen-Anhalt Covid-19 2022,Sachsen-Anhalt Ø2016-19,Sachsen 2016,Sachsen 2017,Sachsen 2018,Sachsen 2019,Sachsen 2020,Sachsen 2021,Sachsen 2022,Sachsen Covid-19 2020,Sachsen Covid-19 2021,Sachsen Covid-19 2022,Sachsen Ø2016-19,Schleswig-Holstein 2016,Schleswig-Holstein 2017,Schleswig-Holstein 2018,Schleswig-Holstein 2019,Schleswig-Holstein 2020,Schleswig-Holstein 2021,Schleswig-Holstein 2022,Schleswig-Holstein Covid-19 2020,Schleswig-Holstein Covid-19 2021,Schleswig-Holstein Covid-19 2022,Schleswig-Holstein Ø2016-19,Thüringen 2016,Thüringen 2017,Thüringen 2018,Thüringen 2019,Thüringen 2020,Thüringen 2021,Thüringen 2022,Thüringen Covid-19 2020,Thüringen Covid-19 2021,Thüringen Covid-19 2022,Thüringen Ø2016-19
1,2115,2523,2269,2185,2229,2772,2331,,575,126,2273,2590,3291,2734,2681,2685,3614,2818,,865,156,2824,662,760,681,707,682,1041,804,,258,21,702,665,731,614,643,660,1049,728,,314,74,663,149,176,161,171,144,181,154,,16,4,164,18467,20918,19342,18686,18883,24849,20511,,5566,1189,19353,415,379,350,353,344,451,377,,95,20,374,1305,1429,1309,1329,1361,1861,1417,,496,58,1343,487,436,463,422,411,507,502,,66,40,452,2014,2105,1966,1809,1937,2164,2055,,273,61,1974,3919,4482,4270,4095,4082,4881,4489,,909,167,4192,906,1055,972,975,924,1177,982,,252,39,977,250,295,261,267,266,355,297,,68,20,268,658,700,718,692,724,981,756,,244,69,692,1034,1235,1195,1071,1122,2070,1360,,701,206,1134,730,678,752,687,758,804,749,,110,13,712,568,643,627,599,554,941,692,,324,115,609
2,2111,2689,2142,2387,2165,2774,2314,,471,113,2332,2640,3395,2715,2782,2764,3599,2720,,838,109,2883,708,772,708,710,699,931,689,,225,26,724,638,733,601,670,703,1057,740,,295,52,660,132,178,178,168,178,158,175,,8,12,164,18439,22070,18770,19170,19408,24503,19661,,5060,911,19612,365,420,344,355,378,437,385,,80,28,371,1309,1541,1329,1303,1377,1807,1390,,423,51,1370,461,443,467,451,413,537,474,,71,34,456,1932,2160,1905,1869,2054,2092,1913,,309,53,1966,4000,4792,4174,4257,4193,5007,4264,,901,136,4306,911,1089,959,998,1005,1223,1025,,185,29,989,253,328,275,244,259,298,281,,58,20,275,650,765,677,619,634,1007,715,,285,52,678,1059,1347,1074,1105,1216,1834,1161,,534,113,1146,719,724,650,667,747,794,765,,104,18,690,551,694,572,585,623,948,650,,273,65,600
3,2178,2510,2282,2359,2213,2751,2261,,437,75,2332,2651,3272,2784,2819,2695,3440,2839,,763,128,2882,726,828,757,695,743,928,757,,220,15,752,649,716,703,635,677,936,707,,267,47,676,159,166,151,117,134,156,155,,17,16,148,18627,21236,19187,19163,18953,24077,19581,,4797,829,19553,366,406,388,356,344,463,374,,89,46,379,1281,1497,1346,1376,1338,1739,1418,,360,51,1375,415,470,440,433,421,575,473,,97,25,440,1922,2064,1997,1936,1902,2167,1981,,335,63,1980,4047,4623,4164,4121,4197,4941,4250,,790,140,4239,924,1088,890,975,956,1212,1013,,244,25,969,244,306,262,265,266,333,282,,51,9,269,616,679,664,654,660,1035,643,,282,41,653,1123,1229,1066,1096,1090,1709,1073,,485,80,1128,733,728,719,732,713,850,759,,122,24,728,593,654,574,594,604,842,596,,238,44,604
4,2188,2779,2197,2404,2171,2533,2315,,341,94,2392,2531,3389,2772,2822,2821,3195,2904,,558,124,2878,709,826,700,698,739,822,787,,166,20,733,616,717,632,629,663,864,747,,226,45,648,170,184,186,159,175,148,161,,19,10,175,18707,22083,19171,19505,18827,22645,19979,,4101,832,19866,377,419,377,370,340,396,376,,66,45,386,1313,1588,1327,1371,1394,1679,1428,,344,46,1400,434,470,448,448,396,557,491,,102,23,450,1966,2087,1988,1944,1937,2165,1929,,301,60,1996,4114,4825,4239,4253,3986,4753,4436,,730,195,4358,913,1042,924,1000,926,1120,1013,,205,26,970,247,291,275,282,256,274,276,,40,14,274,601,791,630,635,671,934,719,,230,24,664,1166,1231,1143,1163,1139,1537,1057,,425,59,1176,738,703,775,732,662,826,742,,142,28,737,624,741,558,595,551,842,598,,206,19,630
5,2044,2907,2257,2353,2370,2381,2395,,260,133,2390,2625,3398,2848,2863,3041,3061,2980,,460,175,2934,728,848,759,728,707,815,761,,115,26,766,621,799,659,685,694,814,726,,143,40,691,162,179,179,171,178,183,180,,26,6,173,18493,23640,19558,19812,19774,21736,20415,,3347,995,20376,348,429,394,374,370,416,351,,57,28,386,1245,1757,1327,1479,1345,1539,1501,,284,57,1452,439,474,426,459,454,560,492,,92,23,450,1895,2277,2067,1990,1896,2179,1968,,313,74,2057,4100,5238,4221,4400,4265,4551,4568,,588,257,4490,936,1248,954,974,1012,1024,1051,,170,42,1028,266,313,280,274,300,318,286,,43,15,283,635,784,679,646,674,868,637,,197,27,686,1114,1391,1138,1053,1121,1467,1139,,304,37,1174,718,805,757,717,740,778,790,,119,35,749,617,793,613,646,607,782,590,,176,20,667
6,2175,2739,2301,2385,2277,2290,,,231,129,2400,2693,3145,2924,2827,2803,2903,,,344,188,2897,751,834,747,765,750,790,,,96,32,774,659,806,684,674,684,791,,,131,47,706,168,185,143,168,160,166,,,18,7,166,18541,22744,20086,19981,19038,20932,20144,,2685,1124,20338,346,383,369,383,369,363,,,36,42,370,1300,1684,1369,1415,1351,1505,,,224,76,1442,402,429,429,459,399,513,,,59,33,430,1858,2208,2011,2019,1936,2133,,,249,98,2024,4082,5067,4538,4368,4085,4443,,,518,285,4514,899,1197,923,1022,936,995,,,100,36,1010,274,306,326,272,262,301,,,35,20,294,601,784,662,715,648,846,,,158,26,690,1097,1369,1235,1161,1132,1388,,,262,41,1216,690,867,771,753,709,797,,,86,42,770,546,741,654,595,537,708,,,138,22,634
7,2165,2561,2447,2404,2261,2241,,,142,152,2394,2647,3142,3019,2910,2883,2917,,,252,196,2930,673,852,789,806,687,751,,,87,10,780,629,837,711,697,723,721,,,87,37,718,174,181,180,162,181,165,,,14,9,174,18483,22683,21254,20150,19648,20469,20763,,2031,1248,20642,333,423,399,348,342,405,,,38,31,376,1213,1628,1484,1423,1396,1499,,,156,87,1437,441,527,478,441,424,477,,,54,29,472,1906,2317,2134,1945,1969,2061,,,193,117,2076,4148,4851,4732,4465,4300,4411,,,424,356,4549,949,1114,1102,1081,978,966,,,70,67,1062,220,331,296,286,269,322,,,32,13,283,627,902,757,692,690,765,,,131,32,744,1053,1406,1344,1136,1198,1262,,,162,56,1235,676,873,799,744,737,819,,,59,34,773,629,738,583,610,610,687,,,130,22,640
8,2116,2587,2644,2448,2194,2124,,,113,,2449,2640,3038,3157,2964,2780,2586,,,216,,2950,731,882,873,767,688,723,,,60,,813,672,807,794,667,646,690,,,78,,735,134,209,195,168,170,159,,,19,,176,18475,22266,22888,20349,18953,18953,20002,,1709,,20994,346,407,426,350,351,348,,,42,,382,1328,1596,1612,1468,1302,1366,,,120,,1501,434,526,540,459,421,441,,,34,,490,1823,2346,2263,2013,1928,1946,,,197,,2111,4007,4681,5065,4519,4212,4192,,,337,,4568,954,1148,1202,1072,945,889,,,56,,1094,238,285,366,257,266,298,,,19,,286,700,804,758,663,694,709,,,95,,731,1104,1390,1344,1178,1111,1136,,,148,,1254,637,859,904,769,648,677,,,56,,792,611,701,745,587,597,669,,,119,,661
9,2181,2405,2953,2542,2294,2088,,,130,,2520,2683,2872,3444,3031,2821,2558,,,179,,3008,760,760,852,815,746,740,,,59,,797,648,699,844,686,652,652,,,58,,719,143,190,256,178,155,156,,,17,,192,18926,20930,25535,20790,19505,18441,,,1359,,21545,351,402,432,384,339,353,,,30,,392,1347,1489,1701,1483,1346,1303,,,96,,1505,399,471,527,424,476,439,,,38,,455,2004,2216,2605,2068,1943,1827,,,125,,2223,4145,4492,5944,4540,4293,4081,,,261,,4780,1013,1027,1330,1040,989,864,,,32,,1102,260,332,383,288,293,251,,,18,,316,672,733,941,728,662,707,,,74,,768,1087,1295,1538,1225,1156,1101,,,114,,1286,670,846,947,716,744,675,,,37,,795,563,701,838,642,596,646,,,91,,686
10,2215,2126,3037,2383,2342,2057,,2,107,,2440,2645,2778,3500,2938,2768,2694,,0,156,,2965,682,668,969,735,707,677,,0,41,,764,632,641,908,686,638,676,,0,45,,717,157,152,230,151,188,145,,0,15,,172,18888,19102,26777,20453,19667,18609,,2,1232,,21305,333,350,427,386,364,362,,0,23,,374,1337,1374,1833,1470,1401,1324,,0,104,,1504,416,440,589,476,452,464,,0,27,,480,1875,2014,2705,2068,2025,1884,,0,109,,2166,4232,4247,6179,4488,4389,4034,,0,247,,4786,953,948,1412,1035,960,880,,0,31,,1087,274,264,415,310,308,245,,0,9,,316,653,688,1013,750,671,689,,0,76,,776,1098,1144,1650,1202,1125,1150,,0,126,,1274,757,691,969,734,710,714,,2,32,,788,629,577,941,641,619,614,,0,84,,697
