woche,Baden-Württemberg 2016,Baden-Württemberg 2017,Baden-Württemberg 2018,Baden-Württemberg 2019,Baden-Württemberg 2020,Baden-Württemberg 2021,Baden-Württemberg Covid-19 2020,Baden-Württemberg Covid-19 2021,Baden-Württemberg Ø2016-19,Bayern 2016,Bayern 2017,Bayern 2018,Bayern 2019,Bayern 2020,Bayern 2021,Bayern Covid-19 2020,Bayern Covid-19 2021,Bayern Ø2016-19,Berlin 2016,Berlin 2017,Berlin 2018,Berlin 2019,Berlin 2020,Berlin 2021,Berlin Covid-19 2020,Berlin Covid-19 2021,Berlin Ø2016-19,Brandenburg 2016,Brandenburg 2017,Brandenburg 2018,Brandenburg 2019,Brandenburg 2020,Brandenburg 2021,Brandenburg Covid-19 2020,Brandenburg Covid-19 2021,Brandenburg Ø2016-19,Bremen 2016,Bremen 2017,Bremen 2018,Bremen 2019,Bremen 2020,Bremen 2021,Bremen Covid-19 2020,Bremen Covid-19 2021,Bremen Ø2016-19,Deutschland 2016,Deutschland 2017,Deutschland 2018,Deutschland 2019,Deutschland 2020,Deutschland 2021,Deutschland Covid-19 2020,Deutschland Covid-19 2021,Deutschland Ø2016-19,Hamburg 2016,Hamburg 2017,Hamburg 2018,Hamburg 2019,Hamburg 2020,Hamburg 2021,Hamburg Covid-19 2020,Hamburg Covid-19 2021,Hamburg Ø2016-19,Hessen 2016,Hessen 2017,Hessen 2018,Hessen 2019,Hessen 2020,Hessen 2021,Hessen Covid-19 2020,Hessen Covid-19 2021,Hessen Ø2016-19,Mecklenburg-Vorpommern 2016,Mecklenburg-Vorpommern 2017,Mecklenburg-Vorpommern 2018,Mecklenburg-Vorpommern 2019,Mecklenburg-Vorpommern 2020,Mecklenburg-Vorpommern 2021,Mecklenburg-Vorpommern Covid-19 2020,Mecklenburg-Vorpommern Covid-19 2021,Mecklenburg-Vorpommern Ø2016-19,Niedersachsen 2016,Niedersachsen 2017,Niedersachsen 2018,Niedersachsen 2019,Niedersachsen 2020,Niedersachsen 2021,Niedersachsen Covid-19 2020,Niedersachsen Covid-19 2021,Niedersachsen Ø2016-19,Nordrhein-Westfalen 2016,Nordrhein-Westfalen 2017,Nordrhein-Westfalen 2018,Nordrhein-Westfalen 2019,Nordrhein-Westfalen 2020,Nordrhein-Westfalen 2021,Nordrhein-Westfalen Covid-19 2020,Nordrhein-Westfalen Covid-19 2021,Nordrhein-Westfalen Ø2016-19,Rheinland-Pfalz 2016,Rheinland-Pfalz 2017,Rheinland-Pfalz 2018,Rheinland-Pfalz 2019,Rheinland-Pfalz 2020,Rheinland-Pfalz 2021,Rheinland-Pfalz Covid-19 2020,Rheinland-Pfalz Covid-19 2021,Rheinland-Pfalz Ø2016-19,Saarland 2016,Saarland 2017,Saarland 2018,Saarland 2019,Saarland 2020,Saarland 2021,Saarland Covid-19 2020,Saarland Covid-19 2021,Saarland Ø2016-19,Sachsen-Anhalt 2016,Sachsen-Anhalt 2017,Sachsen-Anhalt 2018,Sachsen-Anhalt 2019,Sachsen-Anhalt 2020,Sachsen-Anhalt 2021,Sachsen-Anhalt Covid-19 2020,Sachsen-Anhalt Covid-19 2021,Sachsen-Anhalt Ø2016-19,Sachsen 2016,Sachsen 2017,Sachsen 2018,Sachsen 2019,Sachsen 2020,Sachsen 2021,Sachsen Covid-19 2020,Sachsen Covid-19 2021,Sachsen Ø2016-19,Schleswig-Holstein 2016,Schleswig-Holstein 2017,Schleswig-Holstein 2018,Schleswig-Holstein 2019,Schleswig-Holstein 2020,Schleswig-Holstein 2021,Schleswig-Holstein Covid-19 2020,Schleswig-Holstein Covid-19 2021,Schleswig-Holstein Ø2016-19,Thüringen 2016,Thüringen 2017,Thüringen 2018,Thüringen 2019,Thüringen 2020,Thüringen 2021,Thüringen Covid-19 2020,Thüringen Covid-19 2021,Thüringen Ø2016-19
1,2115,2523,2269,2185,2215,2759,0,540,2273,2590,3291,2734,2681,2677,3582,0,829,2824,662,760,681,707,693,1002,0,232,702,665,731,614,643,694,1039,0,304,663,149,176,161,171,145,174,0,16,164,18467,20918,19342,18686,18903,24607,0,5281,19353,415,379,350,353,350,432,0,86,374,1305,1429,1309,1329,1367,1841,0,484,1343,487,436,463,422,410,501,0,64,452,2014,2105,1966,1809,1931,2159,0,266,1974,3919,4482,4270,4095,4090,4850,0,869,4192,906,1055,972,975,923,1162,0,227,977,250,295,261,267,266,350,0,69,268,658,700,718,692,719,972,0,210,692,1034,1235,1195,1071,1118,2055,0,683,1134,730,678,752,687,755,790,0,106,712,568,643,627,599,550,939,0,296,609
2,2111,2689,2142,2387,2163,2747,0,440,2332,2640,3395,2715,2782,2747,3571,0,779,2883,708,772,708,710,703,881,0,202,724,638,733,601,670,756,1032,0,288,660,132,178,178,168,178,152,0,8,164,18439,22070,18770,19170,19432,24247,0,4781,19612,365,420,344,355,383,421,0,73,371,1309,1541,1329,1303,1373,1784,0,405,1370,461,443,467,451,412,529,0,67,456,1932,2160,1905,1869,2046,2088,0,296,1966,4000,4792,4174,4257,4195,4976,0,861,4306,911,1089,959,998,1000,1210,0,185,989,253,328,275,244,261,295,0,57,275,650,765,677,619,631,1006,0,259,678,1059,1347,1074,1105,1219,1822,0,513,1146,719,724,650,667,743,789,0,100,690,551,694,572,585,622,944,0,248,600
3,2178,2510,2282,2359,2209,2746,0,403,2332,2651,3272,2784,2819,2683,3423,0,713,2882,726,828,757,695,750,876,0,189,752,649,716,703,635,727,927,0,262,676,159,166,151,117,131,151,0,16,148,18627,21236,19187,19163,19186,23913,0,4475,19553,366,406,388,356,354,451,0,76,379,1281,1497,1346,1376,1343,1721,0,336,1375,415,470,440,433,422,574,0,94,440,1922,2064,1997,1936,1931,2170,0,314,1980,4047,4623,4164,4121,4342,4933,0,751,4239,924,1088,890,975,964,1213,0,233,969,244,306,262,265,267,324,0,52,269,616,679,664,654,659,1034,0,261,653,1123,1229,1066,1096,1096,1703,0,451,1128,733,728,719,732,707,828,0,111,728,593,654,574,594,601,839,0,213,604
4,2188,2779,2197,2404,2168,,0,307,2392,2531,3389,2772,2822,2814,,0,506,2878,709,826,700,698,744,,0,137,733,616,717,632,629,727,,0,211,648,170,184,186,159,174,,0,19,175,18707,22083,19171,19505,18947,22406,0,3720,19866,377,419,377,370,342,,0,47,386,1313,1588,1327,1371,1390,,0,321,1400,434,470,448,448,400,,0,94,450,1966,2087,1988,1944,1954,,0,266,1996,4114,4825,4239,4253,4029,,0,685,4358,913,1042,924,1000,925,,0,191,970,247,291,275,282,254,,0,41,274,601,791,630,635,674,,0,210,664,1166,1231,1143,1163,1140,,0,384,1176,738,703,775,732,662,,0,128,737,624,741,558,595,550,,0,173,630
5,2044,2907,2257,2353,2367,,0,,2390,2625,3398,2848,2863,3029,,0,,2934,728,848,759,728,722,,0,,766,621,799,659,685,736,,0,,691,162,179,179,171,179,,0,,173,18493,23640,19558,19812,19821,21331,0,,20376,348,429,394,374,376,,0,,386,1245,1757,1327,1479,1348,,0,,1452,439,474,426,459,453,,0,,450,1895,2277,2067,1990,1893,,0,,2057,4100,5238,4221,4400,4266,,0,,4490,936,1248,954,974,1012,,0,,1028,266,313,280,274,301,,0,,283,635,784,679,646,679,,0,,686,1114,1391,1138,1053,1116,,0,,1174,718,805,757,717,741,,0,,749,617,793,613,646,603,,0,,667
6,2175,2739,2301,2385,2275,,0,,2400,2693,3145,2924,2827,2794,,0,,2897,751,834,747,765,754,,0,,774,659,806,684,674,687,,0,,706,168,185,143,168,160,,0,,166,18541,22744,20086,19981,19038,20468,0,,20338,346,383,369,383,373,,0,,370,1300,1684,1369,1415,1351,,0,,1442,402,429,429,459,399,,0,,430,1858,2208,2011,2019,1937,,0,,2024,4082,5067,4538,4368,4088,,0,,4514,899,1197,923,1022,932,,0,,1010,274,306,326,272,261,,0,,294,601,784,662,715,646,,0,,690,1097,1369,1235,1161,1134,,0,,1216,690,867,771,753,710,,0,,770,546,741,654,595,537,,0,,634
7,2165,2561,2447,2404,2256,,0,,2394,2647,3142,3019,2910,2877,,0,,2930,673,852,789,806,689,,0,,780,629,837,711,697,726,,0,,718,174,181,180,162,182,,0,,174,18483,22683,21254,20150,19664,,0,,20642,333,423,399,348,347,,0,,376,1213,1628,1484,1423,1401,,0,,1437,441,527,478,441,428,,0,,472,1906,2317,2134,1945,1970,,0,,2076,4148,4851,4732,4465,4307,,0,,4549,949,1114,1102,1081,981,,0,,1062,220,331,296,286,268,,0,,283,627,902,757,692,689,,0,,744,1053,1406,1344,1136,1195,,0,,1235,676,873,799,744,733,,0,,773,629,738,583,610,615,,0,,640
8,2116,2587,2644,2448,2192,,0,,2449,2640,3038,3157,2964,2769,,0,,2950,731,882,873,767,694,,0,,813,672,807,794,667,647,,0,,735,134,209,195,168,170,,0,,176,18475,22266,22888,20349,18951,,0,,20994,346,407,426,350,352,,0,,382,1328,1596,1612,1468,1295,,0,,1501,434,526,540,459,420,,0,,490,1823,2346,2263,2013,1923,,0,,2111,4007,4681,5065,4519,4224,,0,,4568,954,1148,1202,1072,946,,0,,1094,238,285,366,257,268,,0,,286,700,804,758,663,693,,0,,731,1104,1390,1344,1178,1109,,0,,1254,637,859,904,769,649,,0,,792,611,701,745,587,600,,0,,661
9,2181,2405,2953,2542,2286,,0,,2520,2683,2872,3444,3031,2809,,0,,3008,760,760,852,815,750,,0,,797,648,699,844,686,655,,0,,719,143,190,256,178,156,,0,,192,18926,20930,25535,20790,19495,,0,,21545,351,402,432,384,342,,0,,392,1347,1489,1701,1483,1343,,0,,1505,399,471,527,424,477,,0,,455,2004,2216,2605,2068,1948,,0,,2223,4145,4492,5944,4540,4291,,0,,4780,1013,1027,1330,1040,987,,0,,1102,260,332,383,288,293,,0,,316,672,733,941,728,661,,0,,768,1087,1295,1538,1225,1158,,0,,1286,670,846,947,716,743,,0,,795,563,701,838,642,596,,0,,686
10,2215,2126,3037,2383,2328,,2,,2440,2645,2778,3500,2938,2754,,0,,2965,682,668,969,735,709,,0,,764,632,641,908,686,647,,0,,717,157,152,230,151,187,,0,,172,18888,19102,26777,20453,19646,,2,,21305,333,350,427,386,369,,0,,374,1337,1374,1833,1470,1401,,0,,1504,416,440,589,476,450,,0,,480,1875,2014,2705,2068,2022,,0,,2166,4232,4247,6179,4488,4389,,0,,4786,953,948,1412,1035,961,,0,,1087,274,264,415,310,306,,0,,316,653,688,1013,750,670,,0,,776,1098,1144,1650,1202,1123,,0,,1274,757,691,969,734,712,,2,,788,629,577,941,641,618,,0,,697
