"date","test","positiv","quote","negativ"
2020-03-15,129291,7502,5.80241470790697,100
2020-03-22,374534,25886,6.91152205140254,100
2020-03-29,377599,33139,8.77624146250387,100
2020-04-05,417646,37649,9.01457214961953,100
2020-04-12,383694,30727,8.00820445459142,100
2020-04-19,339983,22724,6.68386360494495,100
2020-04-26,363659,18127,4.98461470773444,100
2020-05-03,327799,12600,3.8438189256221,100
2020-05-10,385638,10181,2.64004065989348,100
2020-05-17,431682,7142,1.65445860610357,100
2020-05-24,356489,5315,1.49092959390051,100
2020-05-31,408078,4335,1.0622969138253,100
2020-06-07,342328,3219,0.940326236825501,100
2020-06-14,327980,2956,0.901274467955363,100
2020-06-21,384834,5588,1.45205465213573,100
2020-06-28,472823,3919,0.828851388363087,100
2020-07-05,512969,3204,0.624599147316894,100
2020-07-12,513572,3042,0.592322011324605,100
2020-07-19,544219,3608,0.662968400588734,100
2020-07-26,556634,4537,0.815077771030875,100
2020-08-02,589201,5888,0.999319417312598,100
2020-08-09,719476,7374,1.02491257526311,100
2020-08-16,871191,8545,0.980841170305938,100
2020-08-23,1034449,8868,0.857267975511601,100
2020-08-30,1133623,8273,0.729784064014227,100
2020-09-06,1052942,8203,0.779055256604827,100
2020-09-13,1148465,10403,0.905817765452147,100
2020-09-20,1147879,13647,1.1888883758654,100
2020-09-27,1220279,15178,1.24381391468672,100
2020-10-04,1129127,19930,1.76508045596288,100
2020-10-11,1218988,30220,2.47910561875917,100
2020-10-18,1284349,46000,3.58158101886637,100
2020-10-25,1445463,80097,5.54126947559363,100
2020-11-01,1663992,118111,7.09805095216804,100
2020-11-08,1634729,128537,7.86289348265064,100
2020-11-15,1467454,128986,8.78978148548438,100
2020-11-22,1400145,131185,9.36938674208743,100
2020-11-29,1381117,128882,9.33172207713032,100
2020-12-06,1395790,138305,9.9087255246133,100
2020-12-13,1516038,169520,11.181777765465,100
2020-12-20,1676387,191718,11.4363807402467,100
2020-12-27,1090372,141413,12.9692435242284,100
2021-01-04,845729,129930,15.3630772978105,100
2021-01-10,1234110,158085,12.8096360940273,100
2021-01-17,1190777,124315,10.4398220657604,100
2021-01-24,1117130,110482,9.88980691593637,100
2021-01-31,1155450,97726,8.45783028257389,100
2021-02-07,1104870,82686,7.48377637188085,100
2021-02-14,1063470,68038,6.39773571421855,100
2021-02-21,1108250,67925,6.12903225806452,100
2021-02-28,1175587,72129,6.13557312219342,100
2021-03-07,1157635,71792,6.20160931554419,100
2021-03-14,1284448,85731,6.67454034729316,100
2021-03-21,1374661,108192,7.87044951446211,100
2021-03-28,1422960,132274,9.29569348400517,100
2021-04-04,1186007,129332,10.9048260254788,100
2021-04-11,1177749,141499,12.0143595961448,100
2021-04-18,1321244,163933,12.4074735627939,100
2021-04-25,1436474,177793,12.3770426753286,100
2021-05-02,1370030,152600,11.1384422238929,100
2021-05-09,1264101,129152,10.2169051365358,100
2021-05-16,1107022,90656,8.1891778121844,100
2021-05-23,1226169,70540,5.75287745816441,100
2021-05-30,955957,39554,4.13763380570465,100
2021-06-06,888506,27609,3.10735099143956,100
2021-06-13,840267,19346,2.30236341543819,100
2021-06-20,735246,10488,1.42646134763059,100
2021-06-27,718914,6949,0.96659683912123,100
2021-07-04,731164,5918,0.809394335607333,100
2021-07-11,616567,6897,1.11861322451575,100
2021-07-18,612370,9874,1.61242386139099,100
2021-07-25,598947,13814,2.30638103204457,100
2021-08-01,587834,17122,2.91272706240197,100
2021-08-08,594459,22524,3.78899133497853,100
2021-08-15,572722,34300,5.98894402519896,100
2021-08-22,695805,54021,7.7638131373014,100
2021-08-29,866361,70612,8.15041304952554,100
2021-09-05,951403,82183,8.63808501760032,100
2021-09-12,1016044,80114,7.88489474865262,100
2021-09-19,987125,72719,7.36674686589844,100
2021-09-26,968235,61696,6.37200679587084,100
2021-10-03,970280,61795,6.36878014593726,100
2021-10-10,964097,62246,6.45640428297153,100
2021-10-17,864132,69754,8.07214638504303,100
2021-10-24,913283,98736,10.8111067434738,100
2021-10-31,1169746,141343,12.0832214856901,100
2021-11-07,1197687,188951,15.7763255341337,100
2021-11-14,1638310,279857,17.0820540679114,100
2021-11-21,1871731,366965,19.6056484612372,100
2021-11-28,1952979,409686,20.9774913094304,100
2021-12-05,1950817,401160,20.5636920326202,100
2021-12-12,1742512,342631,19.663049666229,100
2021-12-19,1557054,286962,18.42980397597,100
2021-12-26,1245166,202569,16.2684332852005,100
2022-01-02,960454,206409,21.4907741547227,100
2022-01-09,1499839,341906,22.7961801233332,100
2022-01-16,2053526,501752,24.4336813850908,100
2022-01-23,2525016,810100,32.0829650188355,100
2022-01-30,2564104,1036579,40.4265583611273,100
2022-02-06,2619324,1161797,44.3548411727606,100
2022-02-13,2490158,1094699,43.9610257662365,100
2022-02-20,2176457,987779,45.3847238884113,100
2022-02-27,1993948,894215,44.8464553739616,100
2022-03-06,1873205,949893,50.7095059003152,100
2022-03-13,2297826,1215698,52.9064428725239,100
2022-03-20,2486755,1381792,55.5660690337408,100
2022-03-27,2329052,1285554,55.1964490273296,100
2022-04-03,1956146,1014842,51.8796654237465,100
2022-04-10,1550412,764698,49.3222446678689,100
2022-04-17,1138710,622574,54.6736219054895,100
