"date","america","europe","asia","africa","americaper","europeper","asiaper","africaper"
2020-02-01,0,0,31,0,0,0,100,0
2020-02-02,0,0,36,0,0,0,100,0
2020-02-03,0,0,40,0,0,0,100,0
2020-02-04,0,0,46,0,0,0,100,0
2020-02-05,0,0,52,0,0,0,100,0
2020-02-06,0,0,56,0,0,0,100,0
2020-02-07,0,0,61,0,0,0,100,0
2020-02-08,0,0,66,0,0,0,100,0
2020-02-09,0,0,73,0,0,0,100,0
2020-02-10,0,0,78,0,0,0,100,0
2020-02-11,0,0,84,0,0,0,100,0
2020-02-12,0,0,89,0,0,0,100,0
2020-02-13,0,0,115,0,0,0,100,0
2020-02-14,0,0,106,0,0,0,100,0
2020-02-15,0,0,115,0,0,0,100,0
2020-02-16,0,0,122,0,0,0,100,0
2020-02-17,0,0,123,0,0,0,100,0
2020-02-18,0,0,122,0,0,0,100,0
2020-02-19,0,0,128,0,0,0,100,0
2020-02-20,0,0,108,0,0,0,100,0
2020-02-21,0,0,123,0,0,0,100,0
2020-02-22,0,0,119,0,0,0,100,0
2020-02-23,0,0,113,0,0,0,100,0
2020-02-24,0,0,120,0,0,0,100,0
2020-02-25,0,1,117,0,0,1,99,0
2020-02-26,0,2,105,0,0,2,98,0
2020-02-27,0,2,94,0,0,2,98,0
2020-02-28,0,3,84,0,0,3,97,0
2020-02-29,0,3,77,0,0,4,96,0
2020-03-01,0,4,69,0,0,5,95,0
2020-03-02,0,5,55,0,0,8,92,0
2020-03-03,1,7,52,0,2,12,87,0
2020-03-04,1,10,51,0,2,16,82,0
2020-03-05,2,14,53,0,3,20,77,0
2020-03-06,2,20,53,0,3,27,71,0
2020-03-07,2,27,52,0,2,33,64,0
2020-03-08,2,32,52,0,2,37,60,0
2020-03-09,3,51,55,0,3,47,50,0
2020-03-10,3,68,57,0,2,53,45,0
2020-03-11,3,90,62,0,2,58,40,0
2020-03-12,3,123,68,0,2,63,35,0
2020-03-13,5,152,72,1,2,66,31,0
2020-03-14,6,189,82,1,2,68,29,0
2020-03-15,7,218,90,1,2,69,28,0
2020-03-16,8,283,99,1,2,72,25,0
2020-03-17,10,326,111,1,2,73,25,0
2020-03-18,13,388,122,2,2,74,23,0
2020-03-19,20,458,133,2,3,75,22,0
2020-03-20,19,549,147,2,3,77,21,0
2020-03-21,36,658,155,3,4,77,18,0
2020-03-22,49,829,162,4,5,79,16,0
2020-03-23,69,937,168,5,6,79,14,0
2020-03-24,86,1094,170,6,6,81,13,0
2020-03-25,117,1278,169,7,7,81,11,0
2020-03-26,151,1483,171,8,8,82,9,0
2020-03-27,191,1683,177,10,9,82,9,0
2020-03-28,241,1930,179,11,10,82,8,0
2020-03-29,305,2126,185,13,12,81,7,0
2020-03-30,339,2310,185,14,12,81,6,0
2020-03-31,427,2523,188,16,14,80,6,1
2020-04-01,536,2744,194,18,15,79,6,1
2020-04-02,670,2940,199,22,17,77,5,1
2020-04-03,777,3147,198,25,19,76,5,1
2020-04-04,893,3512,184,29,19,76,4,1
2020-04-05,1038,3722,207,36,21,74,4,1
2020-04-06,1172,3793,217,42,22,73,4,1
2020-04-07,1284,3868,221,44,24,71,4,1
2020-04-08,1452,4104,228,48,25,70,4,1
2020-04-09,1595,4182,227,50,26,69,4,1
2020-04-10,1764,4346,232,53,28,68,4,1
2020-04-11,1924,4196,254,55,30,65,4,1
2020-04-12,2002,4100,241,52,31,64,4,1
2020-04-13,2069,4108,248,51,32,63,4,1
2020-04-14,2105,4073,253,51,32,63,4,1
2020-04-15,2207,3973,258,51,34,61,4,1
2020-04-16,2658,4082,260,48,38,58,4,1
2020-04-17,2740,3978,439,48,38,55,6,1
2020-04-18,3005,3921,440,46,41,53,6,1
2020-04-19,3056,3930,426,45,41,53,6,1
2020-04-20,3107,3834,419,47,42,52,6,1
2020-04-21,3170,3784,416,46,43,51,6,1
2020-04-22,3197,3711,409,45,43,50,6,1
2020-04-23,2752,3493,421,46,41,52,6,1
2020-04-24,2918,3336,241,46,45,51,4,1
2020-04-25,2573,3234,246,45,42,53,4,1
2020-04-26,2635,3131,255,46,43,52,4,1
2020-04-27,2626,3000,246,42,44,51,4,1
2020-04-28,2609,2929,251,45,45,50,4,1
