"Datum","Meldedatum","Krankheitsbeginn","Intensiv","Beatmet","Tote"
"02/03/2020",33,"225","","",""
"03/03/2020",38,"261","","",""
"04/03/2020",52,"326","","",""
"05/03/2020",109,"395","","",""
"06/03/2020",185,"508","","",""
"07/03/2020",150,"674","","",""
"08/03/2020",163,"896","","",""
"09/03/2020",265,"1275","","","2"
"10/03/2020",184,"1728","","","0"
"11/03/2020",271,"2291","","","1"
"12/03/2020",802,"2857","","","2"
"13/03/2020",693,"3441","","","0"
"14/03/2020",733,"3908","","","3"
"15/03/2020",1043,"4269","","","4"
"16/03/2020",1174,"4873","","","0"
"17/03/2020",1144,"5093","","","0"
"18/03/2020",1042,"5305","","","0"
"19/03/2020",2801,"5317","","","8"
"20/03/2020",2958,"5143","","","11"
"21/03/2020",2705,"4945","","","16"
"22/03/2020",1948,"4576","","","8"
"23/03/2020",4062,"4683","","","31"
"24/03/2020",4764,"4369","","","28"
"25/03/2020",4118,"4363","","","35"
"26/03/2020",4954,"4409","","","49"
"27/03/2020",5780,"4151","","","55"
"28/03/2020",6294,"4106","","","72"
"29/03/2020",3965,"3816","","","64"
"30/03/2020",4751,"3916","","","66"
"31/03/2020",4615,"3779","","","128"
"01/04/2020",5453,"3817","","","149"
"02/04/2020",6156,"3934","","","140"
"03/04/2020",6174,"3767","","","145"
"04/04/2020",6082,"3625","","","141"
"05/04/2020",5936,"3289","","","184"
"06/04/2020",3677,"3193","","","92"
"07/04/2020",3834,"3027","","","173"
"08/04/2020",4003,"2994","","","254"
"09/04/2020",4974,"2993","1888","1464","246"
"10/04/2020",5323,"2736","2304","1810","266"
"11/04/2020",4133,"2476","2619","1986","171"
"12/04/2020",2821,"2244","2405","1856","129"
"13/04/2020",2537,"2044","2447","1841","126"
"14/04/2020",2082,"1950","2680","2215","170"
"15/04/2020",2486,"1930","2679","1996","285"
"16/04/2020",2866,"1879","2773","2083","315"
"17/04/2020",3380,"1818","2868","2145","299"
"18/04/2020",3609,"1690","2922","2180","242"
"19/04/2020",2458,"1533","2889","2113","184"
"20/04/2020",1775,"1490","2793","2009","110"
