country,date,vac,rate,land,continent,northamerica,southamerica,europe,asia,africa,world
World,9.1.2021,23197479,0.3,Welt,World,,,,,,0.3
Israel,7.1.2021,1692000,19.55,Israel,Asia,,,,19.55,,
United Arab Emirates,8.1.2021,941556,9.52,VAE,Asia,,,,9.52,,
Bahrain,8.1.2021,78291,4.6,Bahrain,Asia,,,,4.6,,
United States,8.1.2021,6688231,2.02,USA,North America,2.02,,,,,
United Kingdom,3.1.2021,1296432,1.91,Großbritannien,Europe,,,1.91,,,
Denmark,8.1.2021,102092,1.76,Dänemark,Europe,,,1.76,,,
Iceland,30.12.2020,4875,1.43,Island,Europe,,,1.43,,,
Italy,8.1.2021,504587,0.83,Italien,Europe,,,0.83,,,
Slovenia,7.1.2021,16339,0.79,Slowenien,Europe,,,0.79,,,
Estonia,9.1.2021,10197,0.77,Estland,Europe,,,0.77,,,
Canada,8.1.2021,275673,0.73,Kanada,North America,0.73,,,,,
Portugal,8.1.2021,70000,0.69,Portugal,Europe,,,0.69,,,
China,9.1.2021,9000000,0.63,China,Asia,,,,0.63,,
Croatia,8.1.2021,24985,0.61,Kroatien,Europe,,,0.61,,,
Spain,8.1.2021,277976,0.59,Spanien,Europe,,,0.59,,,
Germany,8.1.2021,476959,0.57,Deutschland,Europe,,,0.57,,,
Russia,2.1.2021,800000,0.55,Russland,Europe,,,0.55,,,
Poland,8.1.2021,188956,0.5,Polen,Europe,,,0.5,,,
Romania,8.1.2021,92706,0.48,Rumänien,Europe,,,0.48,,,
