date,case,variante1,case1,variante2,case2,variante3,case3
2020-12-20,24756,,,,,,
2020-12-21,24796,,,,,,
2020-12-22,25524,,,,,,
2020-12-23,25097,,,,,,
2020-12-24,25851,,,,,,
2020-12-25,24673,,,,,,
2020-12-26,22266,,,,,,
2020-12-27,20978,,,,,,
2020-12-28,20169,,,,,,
2020-12-29,19221,,,,,,
2020-12-30,18895,,,,,,
2020-12-31,18946,,,,,,
2021-01-01,18573,,,,,,
2021-01-02,18321,,,,,,
2021-01-03,17830,,,,,,
2021-01-04,17668,,,,,,
2021-01-05,17526,,,,,,
2021-01-06,17352,,,,,,
2021-01-07,16472,,,,,,
2021-01-08,17747,,,,,,
2021-01-09,19461,,,,,,
2021-01-10,20409,,,,,,
2021-01-11,20787,,,,,,
2021-01-12,20917,,,,,,
2021-01-13,20683,,,,,,
2021-01-14,20507,,,,,,
2021-01-15,19153,,,,,,
2021-01-16,18294,,,,,,
2021-01-17,17856,,,,,,
2021-01-18,17091,,,,,,
2021-01-19,16886,,,,,,
2021-01-20,16368,,,,,,
2021-01-21,15687,,,,,,
2021-01-22,15043,,,,,,
2021-01-23,14720,,,,,,
2021-01-24,14488,,,,,,
2021-01-25,14429,,,,,,
2021-01-26,13721,,,,,,
2021-01-27,13325,,,,,,
2021-01-28,12918,,,,,,
2021-01-29,12370,,,,,,
2021-01-30,11785,,,,,,
2021-01-31,11632,,,,,,
2021-02-01,11472,,,,,,
2021-02-02,11430,,,,,,
2021-02-03,10931,,,,,,
2021-02-04,10453,,,,,,
2021-02-05,10294,,,,,,
2021-02-06,10032,,,,,,
2021-02-07,9664,,,,,,
2021-02-08,9511,,,,,,
2021-02-09,9120,,,,,,
2021-02-10,8887,,,,,,
2021-02-11,8319,,,,,,
2021-02-12,7883,,,,,,
2021-02-13,7579,,,,,,
2021-02-14,7222,,,,,,
2021-02-15,7206,,,,,,
2021-02-16,7274,,,,,,
2021-02-17,7200,1440,5760,1440,5760,1440,5760
2021-02-18,,1468,5447,1512,5610,1552,5760
2021-02-19,,1496,5152,1587,5464,1673,5760
2021-02-20,,1526,4872,1666,5322,1803,5760
2021-02-21,,1555,4608,1750,5184,1944,5760
2021-02-22,,1585,4358,1837,5049,2095,5760
2021-02-23,,1616,4122,1929,4918,2259,5760
2021-02-24,,1648,3898,2025,4790,2435,5760
2021-02-25,,1680,3686,2126,4666,2624,5760
2021-02-26,,1712,3486,2232,4544,2829,5760
2021-02-27,,1746,3297,2343,4426,3049,5760
2021-02-28,,1779,3118,2460,4311,3287,5760
2021-03-01,,1814,2949,2583,4199,3543,5760
2021-03-02,,1849,2789,2712,4090,3819,5760
2021-03-03,,1885,2638,2847,3984,4117,5760
2021-03-04,,1922,2495,2989,3880,4437,5760
2021-03-05,,1959,2359,3138,3779,4783,5760
2021-03-06,,1997,2231,3295,3681,5156,5760
2021-03-07,,2036,2110,3459,3585,5557,5760
2021-03-08,,2076,1996,3632,3492,5990,5760
2021-03-09,,2116,1887,3813,3401,6457,5760
2021-03-10,,2157,1785,4003,3313,6960,5760
2021-03-11,,2199,1688,4203,3227,7502,5760
2021-03-12,,2242,1597,4412,3143,8087,5760
2021-03-13,,2285,1510,4633,3061,8717,5760
2021-03-14,,2329,1428,4864,2982,9396,5760
2021-03-15,,2375,1351,5106,2904,10128,5760
2021-03-16,,2421,1277,5361,2829,10917,5760
2021-03-17,,2468,1208,5629,2755,11768,5760
2021-03-18,,2516,1142,5909,2683,12685,5760
2021-03-19,,2565,1080,6204,2614,13673,5760
2021-03-20,,2615,1022,6514,2546,14738,5760
2021-03-21,,2665,966,6839,2479,15887,5760
2021-03-22,,2717,914,7180,2415,17124,5760
2021-03-23,,2770,864,7538,2352,18459,5760
2021-03-24,,2824,817,7914,2291,19897,5760
2021-03-25,,2879,773,8309,2232,21447,5760
2021-03-26,,2934,731,8724,2174,23118,5760
2021-03-27,,2991,691,9159,2117,24919,5760
2021-03-28,,3050,654,9616,2062,26861,5760
2021-03-29,,3109,618,10095,2008,28953,5760
2021-03-30,,3169,585,10599,1956,31209,5760
2021-03-31,,3231,553,11128,1905,33641,5760
2021-04-01,,3294,523,11683,1856,36262,5760
2021-04-02,,3358,495,12266,1808,39087,5760
2021-04-03,,3423,468,12878,1761,42133,5760
2021-04-04,,3489,443,13520,1715,45415,5760
2021-04-05,,3557,419,14195,1670,48954,5760
2021-04-06,,3626,396,14903,1627,52768,5760
2021-04-07,,3697,374,15647,1585,56879,5760
2021-04-08,,3768,354,16427,1543,61310,5760
2021-04-09,,3842,335,17247,1503,66087,5760
2021-04-10,,3916,317,18107,1464,71236,5760
2021-04-11,,3992,299,19011,1426,76787,5760
