land,kreis,typ,case,lat,lon,num
Baden-Württemberg,Alb-Donau-Kreis,unklar,5,48.3869659,9.72875608405971,1
Baden-Württemberg,Biberach,unklar,2,48.0984413,9.7899938,1
Baden-Württemberg,Breisgau-Hochschwarzwald,unklar,2,47.9214407,7.931506,1
Baden-Württemberg,Emmendingen,unklar,1,48.1206565,7.850993,1
Baden-Württemberg,Freiburg,unklar,4,47.9960901,7.8494005,1
Baden-Württemberg,Freiburg,unklar,4,47.9960901,7.8494005,1
Baden-Württemberg,Lörrach,unklar,8,47.6120896,7.6607218,1
Baden-Württemberg,Ortenaukreis,unklar,5,48.4389796,8.00990275921735,1
Baden-Württemberg,Ortenaukreis,unklar,5,48.4389796,8.00990275921735,1
Baden-Württemberg,Ravensburg,unklar,8,47.7811014,9.612468,1
Baden-Württemberg,Schwarzwald-Baar-Kreis,unklar,1,47.97941475,8.48894293719968,1
Baden-Württemberg,Waldshut,unklar,5,47.6246179,8.2120605,1
Bayern,Berchtesgadener Land,unklar,1,47.7494467,12.9216667,1
Bayern,Berchtesgadener Land,unklar,1,47.7494467,12.9216667,1
Bayern,Fürth,unklar,1,49.477263,10.989616,1
Bayern,Hof,unklar,2,50.3219015,11.9178807,1
Bayern,Nürnberg,unklar,1,49.453872,11.077298,1
Hessen,Bergstraße,unklar,1,49.62303715,8.52717421735676,1
Nordrhein-Westfalen,Köln,unklar,6,50.938361,6.959974,1
Nordrhein-Westfalen,Köln,unklar,6,50.938361,6.959974,1
Sachsen-Anhalt,Stendal,unklar,2,52.6051341,11.8593217,1
Hessen,genauer Ort unbekannt,Brasilien,1,51.3034636,8.7480285,2
Hessen,genauer Ort unbekannt,Brasilien,1,51.3034636,8.7480285,2
Baden-Württemberg,Freudenstadt,Vereinigtes Königreich,1,48.4637727,8.4111727,3
Baden-Württemberg,Heilbronn,Vereinigtes Königreich,4,49.142291,9.218655,3
Baden-Württemberg,Main-Tauber-Kreis,Vereinigtes Königreich,2,49.5713991,9.67103995856859,3
Baden-Württemberg,Ortenaukreis,Vereinigtes Königreich,2,48.4389796,8.00990275921735,3
Baden-Württemberg,Ortenaukreis,Vereinigtes Königreich,2,48.4389796,8.00990275921735,3
Baden-Württemberg,Stuttgart,Vereinigtes Königreich,1,48.7784485,9.1800132,3
Baden-Württemberg,Stuttgart,Vereinigtes Königreich,1,48.7784485,9.1800132,3
Bayern,Bayreuth,Vereinigtes Königreich,11,49.9427202,11.5763079,3
