ort,index,land,lon,lat
Grünow,1,Brandenburg,13.9475639,53.3159481
Wittstock-Rote Mühle,1,Brandenburg,12.4935795,53.1856421
Menz,1,Brandenburg,13.0590958,53.1165793
Lenzen/Elbe,1,Brandenburg,11.4785205,53.0973263
Angermünde,1,Brandenburg,13.9965931,53.0145422
Zehdenick,1,Brandenburg,13.3378948,52.9791731
Neuruppin-Alt Ruppin,1,Brandenburg,12.8905157,52.9603665
Kyritz,1,Brandenburg,12.3961713,52.9432288
Heckelberg,1,Brandenburg,13.83794,52.73741
Berge,1,Brandenburg,11.8698856,53.2380342
Manschnow,1,Brandenburg,14.5611556,52.5455663
Müncheberg,1,Brandenburg,14.1281614,52.5069173
Potsdam,1,Brandenburg,13.0644729,52.3905689
Berlin Brandenburg (Flughafen),1,Brandenburg,13.48956,52.3664
Wusterwitz,1,Brandenburg,12.3782149,52.3776991
Lindenberg,1,Brandenburg,14.1139241,52.2059552
Wiesenburg,1,Brandenburg,12.455903,52.1141835
Baruth,1,Brandenburg,13.5042115,52.033478
Coschen,1,Brandenburg,14.7196124,52.0176511
Lübben-Blumenfelde,1,Brandenburg,13.882568,51.9281549
Langenlipsdorf,1,Brandenburg,13.0744496,51.9157398
Cottbus,1,Brandenburg,14.3328679,51.7563108
Doberlug-Kirchhain,1,Brandenburg,13.5626653,51.6247158
Klettwitz,1,Brandenburg,13.8893113,51.5414987
Berlin-Buch,1,Berlin,13.496539,52.641401
Berlin-Marzahn,1,Berlin,13.5646433,52.5446501
Berlin-Tempelhof,1,Berlin,13.3855997,52.4694927
Berlin-Dahlem,1,Berlin,13.29825,52.46623
Freudenberg-Boxtal/Main,1,Baden-Württemberg,9.4031448,49.764186
Buchen (Kreis Neckar-Odenwald),1,Baden-Württemberg,9.324319,49.522297
Mannheim,1,Baden-Württemberg,8.4660395,49.4874592
Bad Mergentheim-Neunkirchen,1,Baden-Württemberg,9.7706769,49.474782
Niederstetten,1,Baden-Württemberg,9.9194444,49.3994656
Ingelfingen-Stachenhausen,1,Baden-Württemberg,9.700694,49.335386
Waibstadt,1,Baden-Württemberg,8.9197318,49.30042
Waghäusel-Kirrlach,1,Baden-Württemberg,8.5462017,49.2430481
Öhringen,1,Baden-Württemberg,9.5029492,49.199931
Kirchberg-Herboldshausen/Jagst,1,Baden-Württemberg,9.976557,49.17791
Obersulm-Willsbach,1,Baden-Württemberg,9.3570644,49.1346278
Großerlach-Mannenweiler,1,Baden-Württemberg,9.6020549,49.0216948
Ellwangen-Rindelbach,1,Baden-Württemberg,10.127076,48.9879138
Rheinstetten,1,Baden-Württemberg,8.292246,48.9618109
Mühlacker,1,Baden-Württemberg,8.8524245,48.948938
Sachsenheim,1,Baden-Württemberg,9.0643208,48.9603579
Pforzheim-Ispringen,1,Baden-Württemberg,8.6687552,48.9189539
Kaisersbach-Cronhütte,1,Baden-Württemberg,9.6864635,48.9150639
Stuttgart (Schnarrenberg),1,Baden-Württemberg,9.204167,48.828889
Schwäbisch Gmünd-Weiler,1,Baden-Württemberg,9.8760005,48.767982
Renningen,1,Baden-Württemberg,8.9343956,48.7716629
Baden-Baden-Geroldsau,1,Baden-Württemberg,8.2502357,48.7296066
Stuttgart (Flughafen),1,Baden-Württemberg,9.205576,48.6876365
Rheinau-Memprechtshofen,1,Baden-Württemberg,7.9873153,48.6809584
Notzingen,1,Baden-Württemberg,9.4572846,48.6707442
Stötten,1,Baden-Württemberg,9.861927,48.653402
Neubulach-Oberhaugstett,1,Baden-Württemberg,8.6797324,48.65491
Hermaringen-Allewind,1,Baden-Württemberg,10.2572841,48.5952246
Metzingen,1,Baden-Württemberg,9.2864061,48.5398997
Merklingen,1,Baden-Württemberg,9.7553839,48.5103542
Freudenstadt,1,Baden-Württemberg,8.4179988,48.4644796
Ulm-Mähringen,1,Baden-Württemberg,9.937384,48.4364249
Ohlsbach,1,Baden-Württemberg,7.9936967,48.4315241
Münsingen-Apfelstetten,1,Baden-Württemberg,9.487943,48.374567
Hechingen,1,Baden-Württemberg,8.9613627,48.3538888
Lahr,1,Baden-Württemberg,7.8781487,48.33915
Wolfach,1,Baden-Württemberg,8.2149156,48.2923644
Balingen-Bronnhaupten,1,Baden-Württemberg,8.8167801,48.2498545
Laupheim,1,Baden-Württemberg,9.8829174,48.2303503
Elzach-Fisnacht,1,Baden-Württemberg,8.1132337,48.2022116
Rottweil,1,Baden-Württemberg,8.628453,48.1652577
Meßstetten-Appental,1,Baden-Württemberg,8.9629934,48.1808093
Altheim (Kreis Biberach),1,Baden-Württemberg,9.770508,48.327992
Emmendingen-Mundingen,1,Baden-Württemberg,7.8330412,48.1351284
Klippeneck,1,Baden-Württemberg,8.755833,48.105
Sigmaringen-Laiz,1,Baden-Württemberg,9.19778,48.080532
Villingen-Schwenningen,1,Baden-Württemberg,8.4640869,48.0594021
Freiburg,1,Baden-Württemberg,7.8421043,47.9990077
Buchenbach,1,Baden-Württemberg,8.0094386,47.9609204
Pfullendorf,1,Baden-Württemberg,9.2486506,47.925227
Geisingen,1,Baden-Württemberg,8.6489943,47.9230362
Lenzkirch-Ruhbühl,1,Baden-Württemberg,8.2285542,47.8586033
Müllheim,2,Baden-Württemberg,7.6180353,47.8091623
Weingarten (Kreis Ravensburg),1,Baden-Württemberg,9.643114,47.80753
Leutkirch-Herlazhofen,1,Baden-Württemberg,10.0132829,47.7926397
Singen,1,Baden-Württemberg,8.8722387,47.7670971
Dachsberg-Wolpadingen,2,Baden-Württemberg,8.1069824,47.7000267
Konstanz,1,Baden-Württemberg,9.1732384,47.6779496
Friedrichshafen-Unterraderach,1,Baden-Württemberg,9.4448123,47.6848801
Wutöschingen-Ofteringen,1,Baden-Württemberg,8.3788135,47.6776812
Rheinfelden,2,Baden-Württemberg,7.768779,47.5896468
Ostheim vor der Rhön,1,Bayern,10.23219,50.45931
Teuschnitz,1,Bayern,11.383151,50.3982032
Sandberg,1,Bayern,10.0080762,50.3480874
Hof,1,Bayern,11.9127814,50.3135391
Lautertal-Oberlauter,1,Bayern,10.9774755,50.3103017
Bad Königshofen,1,Bayern,10.4662774,50.3013477
Kronach,1,Bayern,11.3310482,50.2359898
Bad Kissingen,1,Bayern,10.080392,50.2007337
Schönwald/Ofr.-Brunn,1,Bayern,12.09077,50.19812
Staffelstein, Bad-Stublang,1,Bayern,11.04388,50.07853
Kahl/Main,1,Bayern,9.0071429,50.0743858
Schonungen-Mainberg,1,Bayern,10.2898427,50.0588956
Wunsiedel-Schönbrunn,1,Bayern,11.9707345,50.0254049
Lohr-Halsbach/Main,1,Bayern,9.6550035,50.011765
Neuhütten/Spessart,1,Bayern,9.4233462,50.0030841
Fichtelberg-Hüttstadl/Oberfranken,1,Bayern,11.8350645,49.979314
Arnstein-Müdesheim,1,Bayern,9.9180925,49.9683773
Heinersreuth-Vollhof,1,Bayern,11.5266283,49.9643807
Bamberg,1,Bayern,10.9027636,49.8988135
Tirschenreuth-Lodermühl,1,Bayern,12.353644,49.858419
Ebrach,1,Bayern,10.4948349,49.8481565
Neustadt-Filchendorf am Kulm,1,Bayern,11.8600782,49.8170033
Würzburg,1,Bayern,9.9533548,49.7913044
Röllbach,1,Bayern,9.2472115,49.7736854
Kitzingen,1,Bayern,10.1473777,49.7340805
Weiden,1,Bayern,12.1489337,49.6743636
Gräfenberg-Kasberg,1,Bayern,11.2231826,49.6643622
Möhrendorf-Kleinseebach,1,Bayern,11.0052771,49.652236
Gollhofen,1,Bayern,10.1920919,49.5694771
Nürnberg (Flughafen),1,Bayern,11.079808,49.4971202
Pommelsbrunn-Mittelburg,1,Bayern,11.537631,49.4783157
Amberg-Unterammersricht,1,Bayern,11.8552423,49.4632167
Oberviechtach,1,Bayern,12.4214867,49.4601783
Kümmersbruck,1,Bayern,11.8899655,49.4189241
Nürnberg-Netzstall,1,Bayern,11.2560171,49.4278806
Waldmünchen,1,Bayern,12.7059963,49.3783747
Rothenburg ob der Tauber,1,Bayern,10.1867388,49.3801834
Schwandorf,1,Bayern,12.1091352,49.3198883
Weidenbach-Weiherschneidbach,1,Bayern,10.6125938,49.2223405
Roth,1,Bayern,11.0911607,49.2456337
Schorndorf-Knöbling,1,Bayern,12.6080644,49.1634678
Feuchtwangen-Heilbronn,1,Bayern,10.3626309,49.1675187
Parsberg-Eglwang/Oberpfalz,1,Bayern,11.6902026,49.1537641
Prackenbach-Neuhäusl,1,Bayern,12.8262189,49.0951985
Regensburg,1,Bayern,12.1016236,49.0134297
Zwiesel,1,Bayern,13.2379307,49.0177574
Weißenburg-Emetzheim,1,Bayern,10.9346079,49.0159407
Gelbelsee,1,Bayern,11.432865,48.9454631
Eichstätt-Landershofen,1,Bayern,11.2328791,48.8824295
Metten,1,Bayern,12.9132001,48.8562976
Kösching,1,Bayern,11.5010096,48.8110674
Straubing,1,Bayern,12.5801539,48.8777333
Reimlingen,1,Bayern,10.516707,48.8172797
Harburg,1,Bayern,10.6951796,48.7854698
Grainet-Rehberg,1,Bayern,13.6227658,48.793482
Saldenburg-Entschenreuth,1,Bayern,13.3165862,48.7837844
Donauwörth-Osterweiler,1,Bayern,10.7415136,48.7358787
Ingolstadt,1,Bayern,11.4257541,48.7665351
Neuburg/Donau,1,Bayern,11.1887693,48.7302674
Elsendorf-Horneck,1,Bayern,11.8531892,48.6992848
Gottfrieding,1,Bayern,12.5354375,48.6375025
Aldersbach-Kriestorf,1,Bayern,13.0478012,48.6098895
Landshut-Reithof,1,Bayern,12.186891,48.4233441
Dillingen/Donau-Fristingen,1,Bayern,10.5520117,48.5563703
Fürstenzell,1,Bayern,13.317774,48.5226292
Günzburg,1,Bayern,10.2775127,48.4528412
Falkenberg (Kreis Rottal-Inn),1,Bayern,12.73159,48.46182
Augsburg,1,Bayern,10.89779,48.3705449
Altomünster-Maisbrunn,1,Bayern,11.311874,48.4069067
Freising-Dürnast,1,Bayern,11.695098,48.405921
München (Flughafen),1,Bayern,11.782909,48.3546979
Neuburg/Kammel-Langenhaslach,1,Bayern,10.3770745,48.3137238
Mühldorf,1,Bayern,12.5219895,48.2457722
Simbach/Inn,1,Bayern,13.0273628,48.2675863
Maisach-Galgen,1,Bayern,11.2018161,48.2070096
Lechfeld,1,Bayern,10.807222,48.161944
München-Stadt,1,Bayern,11.5819805,48.1351253
Ebersberg-Halbing,1,Bayern,11.9872666,48.0986046
Trostberg,1,Bayern,12.5552575,48.0252373
Amerang-Pfaffing,1,Bayern,12.2955973,48.0184575
Oberhaching-Laufzorn,1,Bayern,11.5537141,48.0147063
Memmingen,1,Bayern,10.1801883,47.9837999
Chieming,1,Bayern,12.5369847,47.8948599
Wielenbach,1,Bayern,11.1590924,47.8740941
Holzkirchen,1,Bayern,11.6997577,47.8810573
Attenkam,1,Bayern,11.362826,47.8780759
Kaufbeuren-Oberbeuren,1,Bayern,10.6006132,47.8705556
Rosenheim,1,Bayern,12.1181047,47.8571272
Siegsdorf-Höll,1,Bayern,12.6554975,47.835197
Altenstadt,1,Bayern,10.8711913,47.8279048
Hohenpeißenberg,1,Bayern,11.0063951,47.7945375
Piding,1,Bayern,12.9126072,47.7695089
Kempten,1,Bayern,10.3157835,47.7285699
Reit im Winkl,1,Bayern,12.4692465,47.6766377
Bad Kohlgrub,1,Bayern,11.0506003,47.6668428
Oy-Mittelberg-Petersthal,1,Bayern,10.386598,47.634893
Kiefersfelden-Gach,1,Bayern,12.1868662,47.6181459
Sigmarszell,1,Bayern,9.7625283,47.5891772
Garmisch-Partenkirchen,1,Bayern,11.0954984,47.4916945
Mittenwald,1,Bayern,11.2640301,47.4413018
Oberstdorf,1,Bayern,10.2797448,47.4098581
Bremerhaven,1,Bremen,8.5809425,53.5395845
Bremen (Flughafen),1,Bremen,8.7858736,53.0479714
Wesertal-Lippoldsberg,1,Hessen,9.5548123,51.6230717
Twistetal-Mühlhausen,1,Hessen,8.9074064,51.3348721
Schauenburg-Elgershausen,1,Hessen,9.3800498,51.2733168
Eschwege,1,Hessen,10.0397725,51.1876662
Fritzlar,1,Hessen,9.2742641,51.1330809
Sontra,1,Hessen,9.9353653,51.0680551
Burgwald-Bottendorf,1,Hessen,8.8125935,51.0278721
Gilserberg-Moischeid,1,Hessen,9.0480807,50.9670362
Neukirchen-Hauptschwenda,1,Hessen,9.4062249,50.892272
Bad Hersfeld,1,Hessen,9.7019675,50.8701345
Cölbe,1,Hessen,8.7810455,50.8506433
Neu-Ulrichstein,1,Hessen,9.0331164,50.7527558
Alsfeld-Eifa,1,Hessen,9.342694,50.7508558
Dillenburg,1,Hessen,8.280763,50.7452841
Tann/Rhön,1,Hessen,10.0089235,50.6447591
Wettenberg bei Gießen,1,Hessen,8.6751751,50.6362771
Fulda-Horas,1,Hessen,9.6620397,50.5669919
Löhnberg-Obershausen,1,Hessen,8.2403294,50.5626609
Hoherodskopf/Vogelsberg,1,Hessen,9.2275,50.5116667
Wasserkuppe,1,Hessen,9.9333333,50.5
Schotten,2,Hessen,9.1234184,50.5019846
Runkel-Ennerich,1,Hessen,8.1277174,50.3936016
Bad Nauheim,1,Hessen,8.7393914,50.3672668
Schlüchtern-Herolz,1,Hessen,9.5546879,50.3469983
Gründau-Breitenborn,1,Hessen,9.1858897,50.2637572
